run_no,spat_feed,diff_mort,juv-mort,time,BA
7,TRUE,TRUE,0,34,29.77733442
4,TRUE,TRUE,0,21,38.84792856
6,TRUE,TRUE,0,28,33.95003414
1,TRUE,TRUE,0,37,34.26120156
8,TRUE,TRUE,0,21,34.02209953
7,TRUE,TRUE,0,35,29.5502214
6,TRUE,TRUE,0,29,33.5930387
3,TRUE,TRUE,0,27,36.98125689
7,TRUE,TRUE,0,36,29.08193039
2,TRUE,TRUE,0,27,27.91090011
5,TRUE,TRUE,0,26,35.55110592
8,TRUE,TRUE,0,22,34.51527162
6,TRUE,TRUE,0,30,33.11755518
7,TRUE,TRUE,0,37,29.82482158
3,TRUE,TRUE,0,28,35.30827816
1,TRUE,TRUE,0,38,34.19495491
4,TRUE,TRUE,0,22,38.15622806
6,TRUE,TRUE,0,31,33.30301731
2,TRUE,TRUE,0,28,28.34774592
5,TRUE,TRUE,0,27,35.90570914
8,TRUE,TRUE,0,23,35.06943512
3,TRUE,TRUE,0,29,35.85755489
7,TRUE,TRUE,0,38,30.54462463
6,TRUE,TRUE,0,32,33.29775543
2,TRUE,TRUE,0,29,28.34349858
3,TRUE,TRUE,0,30,36.22841816
5,TRUE,TRUE,0,28,36.36154807
6,TRUE,TRUE,0,33,32.95610447
1,TRUE,TRUE,0,39,34.23089773
7,TRUE,TRUE,0,39,31.32355298
3,TRUE,TRUE,0,31,34.77324116
2,TRUE,TRUE,0,30,28.61251634
6,TRUE,TRUE,0,34,33.58583615
4,TRUE,TRUE,0,23,37.95282529
8,TRUE,TRUE,0,24,34.58226252
5,TRUE,TRUE,0,29,36.78571456
6,TRUE,TRUE,0,35,33.11994304
7,TRUE,TRUE,0,40,32.02570462
3,TRUE,TRUE,0,32,35.06807178
5,TRUE,TRUE,0,30,37.12626111
8,TRUE,TRUE,0,25,35.15753433
1,TRUE,TRUE,0,40,34.65813419
6,TRUE,TRUE,0,36,32.47852109
7,TRUE,TRUE,0,41,32.7138654
3,TRUE,TRUE,0,33,34.79924061
2,TRUE,TRUE,0,31,28.97937303
6,TRUE,TRUE,0,37,32.73847108
5,TRUE,TRUE,0,31,36.75646041
7,TRUE,TRUE,0,42,33.65731023
3,TRUE,TRUE,0,34,35.51579303
8,TRUE,TRUE,0,26,35.48607645
4,TRUE,TRUE,0,24,38.28493578
6,TRUE,TRUE,0,38,33.24210134
2,TRUE,TRUE,0,32,29.06146056
