run_no,spat_feed,juv-mort,time,BA,no_trees,tree_size,tree_size_SD
7,TRUE,0.6,47,29.55723334,241,37.2780168,12.88154832
1,TRUE,0,38,67.37834813,290,5.0001567,4.362347784
8,TRUE,0.6,16,40.5009957,350,27.95815527,17.77785023
7,TRUE,0.6,48,29.5294626,240,37.35438052,12.85378714
7,TRUE,0.6,49,29.59147241,239,37.49504413,12.82496941
8,TRUE,0.6,17,40.51390583,349,28.0223385,17.75264886
7,TRUE,0.6,50,29.38686847,236,37.60484361,12.85005954
8,TRUE,0.6,18,40.04312676,346,28.07822855,17.63361798
9,TRUE,0.8,0,47.15363401,412,34.93467117,15.40082498
8,TRUE,0.6,19,39.56157156,340,28.13197241,17.6450674
9,TRUE,0.8,1,47.36144893,412,32.59918091,17.12264201
9,TRUE,0.8,2,47.51043637,411,32.65906257,17.12459933
9,TRUE,0.8,3,47.28854016,409,32.70816643,17.02315666
8,TRUE,0.6,20,39.12437147,336,28.10490049,17.61587969
9,TRUE,0.8,4,46.57518972,405,32.68487316,16.82251848
8,TRUE,0.6,21,38.78907567,333,28.16051851,17.53505259
9,TRUE,0.8,5,46.06716856,402,32.68035247,16.66567768
2,TRUE,0,37,69.39515948,290,5.235857243,4.570344703
9,TRUE,0.8,6,44.54995006,397,32.51233252,16.1075406
8,TRUE,0.6,22,38.13602109,328,28.08185041,17.48045326
9,TRUE,0.8,7,43.52203937,388,32.50885196,16.02311513
8,TRUE,0.6,23,37.92958109,325,28.24383801,17.40435048
9,TRUE,0.8,8,43.64910047,387,32.63403592,15.98577121
9,TRUE,0.8,9,43.74680458,386,32.81602469,15.90280541
1,TRUE,0,39,68.90861515,289,5.139429761,4.369052673
8,TRUE,0.6,24,37.325702,319,28.26824598,17.36569231
9,TRUE,0.8,10,42.99089476,381,32.77346514,15.76374458
8,TRUE,0.6,25,37.42079122,318,28.44230888,17.30971266
9,TRUE,0.8,11,42.89239302,378,32.87893617,15.75351768
8,TRUE,0.6,26,37.48492702,316,28.58037847,17.28696761
9,TRUE,0.8,12,42.73516509,372,33.08355924,15.79330541
9,TRUE,0.8,13,42.16614033,366,33.10688584,15.8094876
8,TRUE,0.6,27,37.68043357,316,28.71824797,17.22643098
9,TRUE,0.8,14,42.03141236,365,33.11977001,15.7529218
8,TRUE,0.6,28,37.59410963,313,28.81623945,17.21748781
9,TRUE,0.8,15,41.87328628,363,33.15202553,15.73930241
8,TRUE,0.6,29,37.37526216,309,28.89687829,17.20101544
9,TRUE,0.8,16,41.47894461,359,33.16330081,15.74529395
8,TRUE,0.6,30,37.25484478,304,29.21688234,17.18928695
8,TRUE,0.6,31,37.07814046,300,29.4213949,17.1723817
8,TRUE,0.6,32,37.156912,300,29.49313072,17.12086456
9,TRUE,0.8,17,40.67792382,352,33.1256132,15.76168208
8,TRUE,0.6,33,36.07263474,292,29.32160321,17.08600001
2,TRUE,0,38,71.06728142,288,5.323092903,4.551411822
9,TRUE,0.8,18,40.43166472,350,33.12373912,15.7287596
8,TRUE,0.6,34,35.70484985,288,29.31373176,17.09393695
9,TRUE,0.8,19,39.98062846,344,33.28294501,15.70286688
8,TRUE,0.6,35,35.19908269,285,29.3014178,16.97724426
9,TRUE,0.8,20,39.67916969,341,33.29636677,15.69361063
1,TRUE,0,40,70.23797031,287,5.235064602,4.344696478
8,TRUE,0.6,36,34.60170145,281,29.32642214,16.87811701
9,TRUE,0.8,21,39.52924714,338,33.45428383,15.66080463
9,TRUE,0.8,22,39.42691671,335,33.56974891,15.65714416
8,TRUE,0.6,37,33.84855122,276,29.25692476,16.78572773
9,TRUE,0.8,23,38.60644593,326,33.64846069,15.658456
8,TRUE,0.6,38,33.5892075,274,29.41164218,16.7050514
9,TRUE,0.8,24,38.7868117,326,33.76932508,15.60339449
8,TRUE,0.6,39,32.73460749,271,29.26166429,16.36319524
9,TRUE,0.8,25,38.56697819,324,33.88161256,15.48161808
8,TRUE,0.6,40,32.00219559,266,29.15854631,16.23719408
9,TRUE,0.8,26,38.53979003,322,33.990658,15.46541116
8,TRUE,0.6,41,31.65710258,263,29.26255785,16.14992003
9,TRUE,0.8,27,38.21923254,317,34.09379597,15.50787899
8,TRUE,0.6,42,31.14197951,259,29.22454293,16.03684367
9,TRUE,0.8,28,37.9600107,311,34.29598486,15.54595049
9,TRUE,0.8,29,37.41256812,308,34.31060171,15.38857752
8,TRUE,0.6,43,31.31472208,259,29.36060288,15.98012004
2,TRUE,0,39,72.20683846,284,5.4100909,4.502297994
9,TRUE,0.8,30,36.73132425,305,34.2191485,15.15879629
8,TRUE,0.6,44,31.38614427,258,29.59686857,15.92065779
9,TRUE,0.8,31,36.38867219,301,34.27373099,15.15950127
8,TRUE,0.6,45,31.04363199,329,29.61714759,15.89697796
9,TRUE,0.8,32,35.41462083,294,34.17574946,15.11820508
8,TRUE,0.6,46,30.84931297,339,29.59454156,15.92014395
8,TRUE,0.6,47,30.49775825,342,29.57724177,15.7492855
9,TRUE,0.8,33,35.19195262,291,34.23889928,15.1153407
1,TRUE,0,41,71.52566564,284,5.375718441,4.3407506
9,TRUE,0.8,34,34.66535274,288,34.16262108,15.02633912
8,TRUE,0.6,48,30.22656187,339,29.53994044,15.70811232
9,TRUE,0.8,35,34.31853785,285,34.25846226,14.93045047
9,TRUE,0.8,36,33.62355552,280,34.17025146,14.92982812
8,TRUE,0.6,49,29.92677474,334,29.64428455,15.67820707
9,TRUE,0.8,37,33.07244431,275,34.14260203,14.98614292
8,TRUE,0.6,50,29.66014318,332,29.70754902,15.55565708
9,TRUE,0.8,38,32.54172795,271,34.114839,14.91559951
9,TRUE,0.8,39,32.11598478,265,34.23698852,14.96733765
10,TRUE,0.8,0,46.38407639,424,34.06604926,15.25617767
9,TRUE,0.8,40,31.27094074,261,34.13250615,14.60228288
10,TRUE,0.8,1,45.67189508,419,34.07214642,15.076794
10,TRUE,0.8,2,45.44733488,417,34.10166595,15.00314631
9,TRUE,0.8,41,30.95028382,258,34.12732843,14.62073068
10,TRUE,0.8,3,45.59150108,416,34.23103814,14.96662556
9,TRUE,0.8,42,30.92234684,256,34.26174608,14.59539198
2,TRUE,0,40,73.56987602,281,5.252950193,4.395509945
9,TRUE,0.8,43,30.89372143,255,34.42514226,14.50298577
10,TRUE,0.8,4,45.66689869,414,34.37254684,14.94495408
9,TRUE,0.8,44,30.81648036,253,34.52352463,14.4916358
10,TRUE,0.8,5,45.56535403,411,34.50668363,14.87333364
10,TRUE,0.8,6,45.39685065,406,34.69408348,14.84420077
9,TRUE,0.8,45,30.73896802,275,34.63769151,14.44446436
10,TRUE,0.8,7,44.85399233,400,34.81000484,14.70939485
10,TRUE,0.8,8,44.69556724,397,34.91481687,14.65488648
9,TRUE,0.8,46,30.53737648,276,34.67393665,14.38859974
9,TRUE,0.8,47,30.68098299,276,34.79043668,14.33728837
9,TRUE,0.8,48,30.82595388,276,34.90685373,14.28725328
9,TRUE,0.8,49,30.89380889,275,35.03628211,14.26130014
10,TRUE,0.8,9,44.49364704,392,35.09978415,14.61310796
1,TRUE,0,42,73.73910273,283,5.407237585,4.346836659
10,TRUE,0.8,10,44.50049946,388,35.32570157,14.58622103
9,TRUE,0.8,50,30.60632289,274,35.00956432,14.03916755
10,TRUE,0.8,11,44.41380705,385,35.47424878,14.51725313
11,TRUE,1,0,45.88261284,406,34.53756455,15.69976222
10,TRUE,0.8,12,43.79527827,380,35.51067117,14.3792908
11,TRUE,1,1,45.6727652,401,34.71323025,15.67162767
10,TRUE,0.8,13,42.43954554,374,35.31060231,14.08223376
11,TRUE,1,2,45.42844146,397,34.80914314,15.67523488
10,TRUE,0.8,14,42.13974739,368,35.48868766,14.10295827
10,TRUE,0.8,15,41.91947767,366,35.52455621,14.02310539
11,TRUE,1,3,45.43237813,395,34.92567744,15.65538182
10,TRUE,0.8,16,41.80144964,363,35.63833331,14.01662633
11,TRUE,1,4,43.74000568,385,34.79994348,15.35974531
10,TRUE,0.8,17,40.83706428,359,35.51064492,13.69919489
11,TRUE,1,5,43.43950571,382,34.85500601,15.27837643
10,TRUE,0.8,18,40.44526238,355,35.53770784,13.71199223
2,TRUE,0,41,74.85313618,278,5.218247285,4.298637846
10,TRUE,0.8,19,40.29262546,353,35.57730794,13.70832541
