"[all run data]","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees"
"[mean]","13.634365634365635","4.104196886287591","9.753246753246753","2.837891888554235","10.462537462537462","2.8278268188017552","10.554445554445554","3.4012990629219693","9.672327672327672","3.0196810696475875","10.464535464535464","3.2012273465374443","8.492507492507492","3.015838818677398","9.636363636363637","3.2001671098371625","9.959040959040959","2.8033102102863205","9.47952047952048","3.0488392421971744","8.405594405594405","2.7244100441832324","10.861138861138862","3.168673070963646","112.72427572427573","13.451540197834342","11.77122877122877","3.5633830440898193","8.656343656343656","2.432245656674466","8.801198801198801","2.429647853325263"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees"
,"115","25.001073735377688","115","22.511831625528718","115","22.780660399702594","115","25.192747352061044","115","24.493995354614487","115","21.7142425765393","115","24.597371885094855","115","21.185137890222304","115","30.958524351512402","115","22.88645070334788","115","27.491966335452364","115","18.142228076580466","115","22.595073374707493","115","23.969459384859984","115","27.86918611331798","115","26.730574657965327"
,"123","25.11659263562579","118","22.478952369606578","125","22.905084977169388","122","25.044316725840755","95","24.60530362830464","118","21.87102874539149","103","24.70900670210182","106","21.31854776134648","108","30.52974881732851","119","21.905434904816328","108","27.612029467403246","126","18.312317344722064","104","21.81196816654478","120","23.79901956911909","120","27.52439012586845","115","26.9354806526324"
,"121","25.30828721975677","118","22.688188659561188","124","22.99524810137908","119","24.909254867935584","98","24.818915577463834","118","22.09689370117946","102","24.777218721351353","105","21.52395932317512","108","30.722640966869736","115","20.073070052103443","106","26.61453432339541","124","18.360432566680274","108","21.89509124284838","120","23.914893536928187","120","27.730524083610703","112","26.90394937850781"
,"121","25.440528596152973","115","21.85304537895566","119","22.822042824077336","118","25.01864193897765","97","23.364361713939992","118","22.26981576424864","101","23.674293044182427","105","21.721044154245167","106","30.72939012371794","114","20.23457349083969","106","26.83518599348385","120","18.110354356174064","106","21.782639956013565","120","24.13182826361072","119","27.775784727534333","111","26.309025289243856"
,"121","25.635981764868344","115","21.98964331620064","118","23.010625713677268","118","25.19886878652127","95","23.142603928799456","116","22.232324762783733","101","23.843377053372468","104","21.89646796144451","103","28.986859028830796","113","20.018709072092577","101","24.80184448582138","119","18.25087130654841","103","20.873706154707012","119","23.942865604879845","117","27.563453272605642","107","24.280954943708906"
,"120","25.761261523759316","114","22.21063894509782","117","23.16384833712797","117","25.338590671032502","94","23.256398687362303","115","22.252402764975557","99","23.003104260984763","104","22.033261995075573","100","28.123127706138042","110","19.453803635095706","101","25.119273027834716","118","18.392585583199487","104","21.049605792424888","118","24.13923534209902","115","26.673858560456043","106","23.428786804967395"
