"BehaviorSpace results (NetLogo 5.1.0)"
"Denny_mort_4.3.32.nlogo"
"Experiment_1"
"01/24/2016 18:48:58:380 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","spatial-feedback?","juvenile-mortality","drought-rate","[step]","sum [BA] of trees","count trees with [tree-size-t1 > 10]","mean [tree-size-t1] of trees","standard-deviation [tree-size-t1] of trees"
"3","true","0","1","2","40.160906274213275","362","20.137657150647723","19.229292557749147"
"8","true","0","1","3","41.13015022061644","366","26.393413927799184","18.744527300017285"
"5","true","0","1","5","41.47072660843426","298","25.212946861846394","21.46201782905409"
"6","true","0","1","5","40.72547468590065","314","24.133674906063025","21.00251494932039"
"4","true","0","1","4","41.83538458795547","299","28.316175089946835","21.340975771837627"
"2","true","0","1","4","39.76268035568348","330","25.880348155114095","19.97603885740062"
"1","true","0","1","4","40.27642178246885","297","20.437153090204013","21.126957939236615"
"3","true","0","1","3","39.970492898911345","357","20.096911232750706","19.175473057789663"
"5","true","0","1","6","41.00942341291193","295","25.102070883317516","21.36038417112017"
"8","true","0","1","4","40.9913425067701","363","26.530879851942117","18.67997771279922"
"6","true","0","1","6","40.19843787430448","310","24.138759407355327","20.822523751781503"
"7","true","0","1","4","40.328459142038774","372","20.843285568812085","18.900735759841915"
"4","true","0","1","5","41.761824041090094","296","28.064405372804366","21.415479111171607"
"1","true","0","1","5","40.01492023173841","292","20.49635866720257","21.10906293500841"
"2","true","0","1","5","39.36560745317782","324","25.765408515333448","20.026429047243724"
"5","true","0","1","7","39.84364518531799","292","24.858144063532787","20.9179066414248"
"3","true","0","1","4","39.64248873540429","353","19.849780728089332","19.0587523758516"
"7","true","0","1","5","40.36222864159602","370","20.646448884407103","18.848741828199373"
"4","true","0","1","6","41.306078051213525","293","28.0170307512175","21.294192731118265"
"5","true","0","1","8","39.20894786989304","289","24.63422627490995","20.729109514333103"
"6","true","0","1","7","40.16069779659643","309","24.10467020993451","20.743020720681674"
"1","true","0","1","6","40.10856542542881","291","20.268830225867834","21.000382436589742"
"2","true","0","1","6","39.00546809290846","321","25.688732335116296","19.93692092373611"
"8","true","0","1","5","40.40603599010961","355","26.456971807050284","18.72309059966483"
