run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees
1,TRUE,TRUE,0,38,26.24807215,159
3,TRUE,TRUE,0,40,26.43022378,167
2,TRUE,TRUE,0,41,22.85279999,164
6,TRUE,TRUE,0,42,21.32783123,172
7,TRUE,TRUE,0,40,28.48418221,159
4,TRUE,TRUE,0,35,31.96374382,162
8,TRUE,TRUE,0,40,26.50531832,150
5,TRUE,TRUE,0,39,26.48612983,149
3,TRUE,TRUE,0,41,25.36256312,163
2,TRUE,TRUE,0,42,23.18563584,164
1,TRUE,TRUE,0,39,26.24087095,158
6,TRUE,TRUE,0,43,21.59982649,172
7,TRUE,TRUE,0,41,28.65260157,157
8,TRUE,TRUE,0,41,25.08461368,149
2,TRUE,TRUE,0,43,23.2586688,163
3,TRUE,TRUE,0,42,25.2912653,165
7,TRUE,TRUE,0,42,27.55141157,156
4,TRUE,TRUE,0,36,31.68634036,161
5,TRUE,TRUE,0,40,26.73338969,151
6,TRUE,TRUE,0,44,21.83873908,170
1,TRUE,TRUE,0,40,26.60037821,161
8,TRUE,TRUE,0,42,25.42349975,148
3,TRUE,TRUE,0,43,25.31879787,165
7,TRUE,TRUE,0,43,27.32461208,153
2,TRUE,TRUE,0,44,23.51618087,162
6,TRUE,TRUE,0,45,22.16498126,170
4,TRUE,TRUE,0,37,31.22847768,159
8,TRUE,TRUE,0,43,25.71162404,148
5,TRUE,TRUE,0,41,26.03697767,149
1,TRUE,TRUE,0,41,26.14316786,160
6,TRUE,TRUE,0,46,22.43530688,171
2,TRUE,TRUE,0,45,23.70469377,162
3,TRUE,TRUE,0,44,25.51397558,165
5,TRUE,TRUE,0,42,25.2586973,146
4,TRUE,TRUE,0,38,29.77081496,156
1,TRUE,TRUE,0,42,26.23420498,159
7,TRUE,TRUE,0,44,27.50112131,154
8,TRUE,TRUE,0,44,26.03067495,150
6,TRUE,TRUE,0,47,22.65448482,170
2,TRUE,TRUE,0,46,23.67424418,160
3,TRUE,TRUE,0,45,25.41735457,165
5,TRUE,TRUE,0,43,24.85211693,146
1,TRUE,TRUE,0,43,25.61246941,157
4,TRUE,TRUE,0,39,29.25637899,155
7,TRUE,TRUE,0,45,26.19170285,151
8,TRUE,TRUE,0,45,25.3593724,147
2,TRUE,TRUE,0,47,23.72632444,159
3,TRUE,TRUE,0,46,24.83268343,161
7,TRUE,TRUE,0,46,25.15568628,148
6,TRUE,TRUE,0,48,22.65429715,170
8,TRUE,TRUE,0,46,25.46062646,147
5,TRUE,TRUE,0,44,25.1215876,145
1,TRUE,TRUE,0,44,25.9100446,158
3,TRUE,TRUE,0,47,25.03498939,161
4,TRUE,TRUE,0,40,28.15380863,150
7,TRUE,TRUE,0,47,24.15105838,146
2,TRUE,TRUE,0,48,22.30406129,158
6,TRUE,TRUE,0,49,22.43848986,167
8,TRUE,TRUE,0,47,25.71635812,146
5,TRUE,TRUE,0,45,25.08620278,143
1,TRUE,TRUE,0,45,25.37162977,156
4,TRUE,TRUE,0,41,28.41241682,149
2,TRUE,TRUE,0,49,22.41903941,158
6,TRUE,TRUE,0,50,22.71851002,168
3,TRUE,TRUE,0,48,25.33188662,162
5,TRUE,TRUE,0,46,25.20238363,144
7,TRUE,TRUE,0,48,24.41423708,144
1,TRUE,TRUE,0,46,25.35073514,154
8,TRUE,TRUE,0,48,25.80115092,145
4,TRUE,TRUE,0,42,26.9537752,146
2,TRUE,TRUE,0,50,22.57258175,157
6,TRUE,TRUE,0,51,23.07764347,167
3,TRUE,TRUE,0,49,25.3898861,161
7,TRUE,TRUE,0,49,24.66397486,145
5,TRUE,TRUE,0,47,25.5186727,144
1,TRUE,TRUE,0,47,25.53965667,153
2,TRUE,TRUE,0,51,22.74676433,155
8,TRUE,TRUE,0,49,24.97479477,143
4,TRUE,TRUE,0,43,27.01718048,145
7,TRUE,TRUE,0,50,25.0195073,145
3,TRUE,TRUE,0,50,25.45457468,160
6,TRUE,TRUE,0,52,23.41593282,166
8,TRUE,TRUE,0,50,24.43553962,142
5,TRUE,TRUE,0,48,24.84571017,142
7,TRUE,TRUE,0,51,25.2960425,149
3,TRUE,TRUE,0,51,25.73181697,159
1,TRUE,TRUE,0,48,24.807402,151
2,TRUE,TRUE,0,52,22.9586772,154
4,TRUE,TRUE,0,44,27.3343942,147
6,TRUE,TRUE,0,53,23.43955575,166
8,TRUE,TRUE,0,51,23.1079644,139
5,TRUE,TRUE,0,49,25.1646587,145
2,TRUE,TRUE,0,53,23.02486393,152
1,TRUE,TRUE,0,49,25.02820399,150
4,TRUE,TRUE,0,45,27.49324542,146
6,TRUE,TRUE,0,54,23.45107332,166
7,TRUE,TRUE,0,52,25.59421538,152
5,TRUE,TRUE,0,50,25.47370365,149
3,TRUE,TRUE,0,52,26.05897652,160
8,TRUE,TRUE,0,52,22.4065543,138
2,TRUE,TRUE,0,54,23.25047626,156
1,TRUE,TRUE,0,50,25.18036599,150
6,TRUE,TRUE,0,55,23.29541897,163
4,TRUE,TRUE,0,46,27.61109067,145
7,TRUE,TRUE,0,53,24.68627733,151
5,TRUE,TRUE,0,51,25.26570769,150
3,TRUE,TRUE,0,53,25.59604529,157
8,TRUE,TRUE,0,53,22.72198257,139
2,TRUE,TRUE,0,55,23.57856163,158
1,TRUE,TRUE,0,51,24.82555133,146
7,TRUE,TRUE,0,54,24.27593032,147
4,TRUE,TRUE,0,47,27.15213196,144
8,TRUE,TRUE,0,54,22.460905,137
3,TRUE,TRUE,0,54,25.42246953,157
6,TRUE,TRUE,0,56,23.61577177,163
5,TRUE,TRUE,0,52,24.7786835,146
7,TRUE,TRUE,0,55,23.99373216,144
8,TRUE,TRUE,0,55,22.80208022,141
2,TRUE,TRUE,0,56,23.87629995,156
3,TRUE,TRUE,0,55,25.43861631,154
1,TRUE,TRUE,0,52,24.97342082,146
6,TRUE,TRUE,0,57,22.57142549,162
4,TRUE,TRUE,0,48,27.51328649,148
5,TRUE,TRUE,0,53,24.54757512,146
2,TRUE,TRUE,0,57,23.51936004,155
7,TRUE,TRUE,0,56,24.262164,144
1,TRUE,TRUE,0,53,24.50413685,144
6,TRUE,TRUE,0,58,22.29108592,165
8,TRUE,TRUE,0,56,23.00015887,143
4,TRUE,TRUE,0,49,27.64470446,146
5,TRUE,TRUE,0,54,24.85244191,147
3,TRUE,TRUE,0,56,24.92407914,153
2,TRUE,TRUE,0,58,23.8688775,156
7,TRUE,TRUE,0,57,22.87576793,142
6,TRUE,TRUE,0,59,21.91169969,162
1,TRUE,TRUE,0,54,23.58637674,141
8,TRUE,TRUE,0,57,23.26473805,143
4,TRUE,TRUE,0,50,27.50584389,144
5,TRUE,TRUE,0,55,24.99847678,144
3,TRUE,TRUE,0,57,24.76653445,153
7,TRUE,TRUE,0,58,23.18985907,146
2,TRUE,TRUE,0,59,23.11322154,155
1,TRUE,TRUE,0,55,23.94962127,142
8,TRUE,TRUE,0,58,23.18843986,143
4,TRUE,TRUE,0,51,27.72768965,148
7,TRUE,TRUE,0,59,23.09285153,147
6,TRUE,TRUE,0,60,21.8522688,162
3,TRUE,TRUE,0,58,24.43155191,153
5,TRUE,TRUE,0,56,25.24476718,144
8,TRUE,TRUE,0,59,23.44696632,144
2,TRUE,TRUE,0,60,22.79749738,152
1,TRUE,TRUE,0,56,22.7721755,142
6,TRUE,TRUE,0,61,21.42693044,158
3,TRUE,TRUE,0,59,24.6314819,152
5,TRUE,TRUE,0,57,25.0620455,146
4,TRUE,TRUE,0,52,27.3068608,147
7,TRUE,TRUE,0,60,23.41518002,152
2,TRUE,TRUE,0,61,23.05146459,157
8,TRUE,TRUE,0,60,23.64958305,144
6,TRUE,TRUE,0,62,21.70702027,158
1,TRUE,TRUE,0,57,22.45135388,140
7,TRUE,TRUE,0,61,23.72520793,153
5,TRUE,TRUE,0,58,24.3122335,146
4,TRUE,TRUE,0,53,27.72278861,151
2,TRUE,TRUE,0,62,22.21148931,155
3,TRUE,TRUE,0,60,24.94093569,152
8,TRUE,TRUE,0,61,22.06359534,144
6,TRUE,TRUE,0,63,20.83142545,154
1,TRUE,TRUE,0,58,22.72278517,137
7,TRUE,TRUE,0,62,22.80163645,152
5,TRUE,TRUE,0,59,24.56517416,148
2,TRUE,TRUE,0,63,22.40875015,157
4,TRUE,TRUE,0,54,28.06498038,154
8,TRUE,TRUE,0,62,21.25719453,142
3,TRUE,TRUE,0,61,24.49372525,155
1,TRUE,TRUE,0,59,22.9947339,140
7,TRUE,TRUE,0,63,20.05779988,149
6,TRUE,TRUE,0,64,20.92144828,156
8,TRUE,TRUE,0,63,21.37102524,145
4,TRUE,TRUE,0,55,27.79070607,150
3,TRUE,TRUE,0,62,24.42228951,156
5,TRUE,TRUE,0,60,24.4938226,146
2,TRUE,TRUE,0,64,22.71143026,160
6,TRUE,TRUE,0,65,21.1648409,155
1,TRUE,TRUE,0,60,22.04199872,139
7,TRUE,TRUE,0,64,20.38059492,151
3,TRUE,TRUE,0,63,24.75135558,160
8,TRUE,TRUE,0,64,21.44577978,145
5,TRUE,TRUE,0,61,24.2812169,151
2,TRUE,TRUE,0,65,22.88764144,160
6,TRUE,TRUE,0,66,21.05068405,155
1,TRUE,TRUE,0,61,22.3506164,141
4,TRUE,TRUE,0,56,28.06875156,150
7,TRUE,TRUE,0,65,19.97306831,153
8,TRUE,TRUE,0,65,21.67271331,144
5,TRUE,TRUE,0,62,24.57318395,154
2,TRUE,TRUE,0,66,22.98136943,162
6,TRUE,TRUE,0,67,19.89117506,149
1,TRUE,TRUE,0,62,22.68169117,143
7,TRUE,TRUE,0,66,20.08693481,156
3,TRUE,TRUE,0,64,25.12324466,161
4,TRUE,TRUE,0,57,27.91771198,154
8,TRUE,TRUE,0,66,21.93964683,144
2,TRUE,TRUE,0,67,22.89890906,159
5,TRUE,TRUE,0,63,24.82336691,156
7,TRUE,TRUE,0,67,19.37116633,155
1,TRUE,TRUE,0,63,22.8412343,142
3,TRUE,TRUE,0,65,24.21243128,161
4,TRUE,TRUE,0,58,27.85697621,156
6,TRUE,TRUE,0,68,19.77143679,146
8,TRUE,TRUE,0,67,22.23482167,147
7,TRUE,TRUE,0,68,19.36001884,156
6,TRUE,TRUE,0,69,20.17198373,146
2,TRUE,TRUE,0,68,23.23870463,161
3,TRUE,TRUE,0,66,24.02658525,159
5,TRUE,TRUE,0,64,24.94843532,155
4,TRUE,TRUE,0,59,27.99705499,156
1,TRUE,TRUE,0,64,23.15424571,143
8,TRUE,TRUE,0,68,22.44758165,148
7,TRUE,TRUE,0,69,19.27590614,156
6,TRUE,TRUE,0,70,20.08603534,147
2,TRUE,TRUE,0,69,22.40730366,162
3,TRUE,TRUE,0,67,24.3746602,164
5,TRUE,TRUE,0,65,22.84196237,154
1,TRUE,TRUE,0,65,22.81251828,148
8,TRUE,TRUE,0,69,22.77776016,149
7,TRUE,TRUE,0,70,19.6777652,163
6,TRUE,TRUE,0,71,19.88804569,149
4,TRUE,TRUE,0,60,28.29095671,155
5,TRUE,TRUE,0,66,23.17421554,160
