run_no,spat_feed,juv-mort,time,BA,no_trees,tree_size,tree_size_SD
8,TRUE,0,25,34.71169923,314,24.2942171,17.98807025
7,TRUE,0,27,34.98772284,300,18.10685576,17.83969877
5,TRUE,0,32,38.76548915,308,15.48237965,16.12821967
8,TRUE,0,26,33.55313831,306,23.34195892,17.85780268
7,TRUE,0,28,34.58561706,296,17.78255956,17.6760874
6,TRUE,0,29,36.69349172,314,14.18368478,15.66301584
5,TRUE,0,33,38.91322957,308,15.28844506,16.03441774
8,TRUE,0,27,33.3360254,302,22.27279547,18.00173685
7,TRUE,0,29,34.49380397,293,17.59163387,17.59436578
5,TRUE,0,34,38.72031157,305,14.97738446,15.89855937
6,TRUE,0,30,36.99543837,314,14.01655093,15.53064119
8,TRUE,0,28,33.17367285,300,21.64696476,17.97277088
5,TRUE,0,35,38.55657391,302,14.74277964,15.81245808
6,TRUE,0,31,36.97778513,310,13.90050227,15.40759809
7,TRUE,0,30,34.59035106,292,17.24769169,17.47785108
8,TRUE,0,29,33.30835142,299,20.97456551,17.98546492
6,TRUE,0,32,37.01343512,308,13.66325673,15.28452982
7,TRUE,0,31,34.25661791,288,16.85460025,17.30574927
5,TRUE,0,36,37.87850508,298,14.46253498,15.57812633
8,TRUE,0,30,32.97296534,294,20.11256973,17.95760793
7,TRUE,0,32,34.28505267,287,16.54949142,17.19523692
5,TRUE,0,37,37.89104581,295,14.23755184,15.4713367
6,TRUE,0,33,36.33664388,302,13.57630197,15.13155437
8,TRUE,0,31,32.89847919,290,19.39446978,17.92906026
5,TRUE,0,38,37.53442735,290,13.90776639,15.30715025
6,TRUE,0,34,35.73008534,297,13.40509278,14.94900414
8,TRUE,0,32,32.26085037,286,18.54376252,17.68892648
7,TRUE,0,33,34.08866631,284,16.23118792,17.08752294
6,TRUE,0,35,35.88048823,297,13.42631914,14.90253532
8,TRUE,0,33,32.1995631,284,17.23582767,17.50818303
7,TRUE,0,34,33.99960818,282,15.94454019,16.96952421
5,TRUE,0,39,36.91029632,286,13.64136876,15.08259854
8,TRUE,0,34,32.16435996,282,16.32813877,17.31028288
7,TRUE,0,35,33.44747513,276,15.50388612,16.79062523
5,TRUE,0,40,37.0677412,286,13.59532811,15.01434764
6,TRUE,0,36,35.78426095,294,13.22317401,14.78207968
8,TRUE,0,35,31.52348219,276,15.29951574,16.96410635
7,TRUE,0,36,33.31903614,274,15.41019846,16.70188339
5,TRUE,0,41,36.93051014,283,13.42601767,14.91844759
6,TRUE,0,37,35.25195074,291,13.05705271,14.56210173
8,TRUE,0,36,31.51939507,275,14.34348136,16.63247147
5,TRUE,0,42,37.12708945,282,13.32119302,14.82240997
