run_no,spat_feed,diff_mort,juv-mort,time,BA,,,,,,,,BA
8,TRUE,TRUE,0.4,91,19.67773221,,,,,,,,
8,TRUE,TRUE,0.4,92,19.99941688,,,,,,,,
5,TRUE,TRUE,0.2,56,38.66583174,,,,,,,,
6,TRUE,TRUE,0.2,36,30.90003028,,,,,,,,
8,TRUE,TRUE,0.4,93,19.38367494,,,,,,,,
5,TRUE,TRUE,0.2,57,38.71397099,,,,,,,,
1,TRUE,TRUE,0,20,37.29093197,,,,,,,,
8,TRUE,TRUE,0.4,94,19.43822643,,,,,,,,
8,TRUE,TRUE,0.4,95,19.47704161,,,,,,,,
8,TRUE,TRUE,0.4,96,19.30901523,,,,,,,,
6,TRUE,TRUE,0.2,37,31.38930162,,,,,,,,
5,TRUE,TRUE,0.2,58,39.07205029,,,,,,,,
4,TRUE,TRUE,0.2,57,30.50676122,,,,,,,,
7,TRUE,TRUE,0.4,86,27.89731046,,,,,,,,
5,TRUE,TRUE,0.2,59,39.76419705,,,,,,,,
8,TRUE,TRUE,0.4,97,19.59645149,,,,,,,,
6,TRUE,TRUE,0.2,38,31.20175451,,,,,,,,
2,TRUE,TRUE,0,18,37.42891724,,,,,,,,
8,TRUE,TRUE,0.4,98,19.89318304,,,,,,,,
8,TRUE,TRUE,0.4,99,20.22923397,,,,,,,,
8,TRUE,TRUE,0.4,100,19.14712289,,,,,,,,
5,TRUE,TRUE,0.2,60,40.09070781,,,,,,,,
7,TRUE,TRUE,0.4,87,28.10298089,,,,,,,,
5,TRUE,TRUE,0.2,61,40.82394923,,,,,,,,
7,TRUE,TRUE,0.4,88,27.88050621,,,,,,,,
8,TRUE,TRUE,0.4,101,19.16343802,,,,,,,,
8,TRUE,TRUE,0.4,102,19.24266726,,,,,,,,
8,TRUE,TRUE,0.4,103,18.52724,,,,,,,,
6,TRUE,TRUE,0.2,39,31.47165455,,,,,,,,
5,TRUE,TRUE,0.2,62,41.51169869,,,,,,,,
8,TRUE,TRUE,0.4,104,18.59333352,,,,,,,,
4,TRUE,TRUE,0.2,58,31.28460785,,,,,,,,
8,TRUE,TRUE,0.4,105,18.45646124,,,,,,,,
8,TRUE,TRUE,0.4,106,17.9213154,,,,,,,,
6,TRUE,TRUE,0.2,40,30.12826653,,,,,,,,
8,TRUE,TRUE,0.4,107,17.95978314,,,,,,,,
8,TRUE,TRUE,0.4,108,18.10476636,,,,,,,,
7,TRUE,TRUE,0.4,89,27.82037111,,,,,,,,
6,TRUE,TRUE,0.2,41,30.11810157,,,,,,,,
8,TRUE,TRUE,0.4,109,17.21033262,,,,,,,,
8,TRUE,TRUE,0.4,110,17.42938711,,,,,,,,
6,TRUE,TRUE,0.2,42,30.07265813,,,,,,,,
8,TRUE,TRUE,0.4,111,17.43068708,,,,,,,,
1,TRUE,TRUE,0,21,37.06835098,,,,,,,,
8,TRUE,TRUE,0.4,112,16.95015346,,,,,,,,
8,TRUE,TRUE,0.4,113,16.90315374,,,,,,,,
8,TRUE,TRUE,0.4,114,17.15858353,,,,,,,,
6,TRUE,TRUE,0.2,43,29.69134319,,,,,,,,
8,TRUE,TRUE,0.4,115,16.95747583,,,,,,,,
8,TRUE,TRUE,0.4,116,16.8542036,,,,,,,,
8,TRUE,TRUE,0.4,117,16.77458537,,,,,,,,
6,TRUE,TRUE,0.2,44,29.47433335,,,,,,,,
8,TRUE,TRUE,0.4,118,16.13016901,,,,,,,,
8,TRUE,TRUE,0.4,119,16.13674804,,,,,,,,
8,TRUE,TRUE,0.4,120,16.30399712,,,,,,,,
