run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees
13,FALSE,TRUE,0,82,37.53793787,298
15,FALSE,TRUE,0.4,51,34.70166317,156
14,FALSE,TRUE,0.2,120,30.81091443,64
7,TRUE,FALSE,0,135,63.54603609,383
14,FALSE,TRUE,0.2,121,31.00332409,64
13,FALSE,TRUE,0,83,38.11453809,309
14,FALSE,TRUE,0.2,122,31.19683853,64
15,FALSE,TRUE,0.4,52,35.11053476,156
14,FALSE,TRUE,0.2,123,30.77278082,63
15,FALSE,TRUE,0.4,53,35.53066285,156
14,FALSE,TRUE,0.2,124,29.90678471,62
13,FALSE,TRUE,0,84,37.81619671,324
15,FALSE,TRUE,0.4,54,35.52584758,154
14,FALSE,TRUE,0.2,125,29.72722864,61
15,FALSE,TRUE,0.4,55,35.88504634,153
14,FALSE,TRUE,0.2,126,29.27936885,60
7,TRUE,FALSE,0,136,62.13404981,375
14,FALSE,TRUE,0.2,127,29.47842282,60
13,FALSE,TRUE,0,85,38.39495208,338
14,FALSE,TRUE,0.2,128,29.0860375,59
15,FALSE,TRUE,0.4,56,36.0433698,151
14,FALSE,TRUE,0.2,129,28.52840388,58
13,FALSE,TRUE,0,86,37.82070081,347
15,FALSE,TRUE,0.4,57,36.42747208,151
14,FALSE,TRUE,0.2,130,28.73480557,58
7,TRUE,FALSE,0,137,60.9821785,373
14,FALSE,TRUE,0.2,131,27.97855562,57
15,FALSE,TRUE,0.4,58,36.83773373,151
13,FALSE,TRUE,0,87,38.3767763,360
15,FALSE,TRUE,0.4,59,36.52552671,150
14,FALSE,TRUE,0.2,132,28.15513978,57
14,FALSE,TRUE,0.2,133,27.89862789,56
7,TRUE,FALSE,0,138,61.4451724,386
14,FALSE,TRUE,0.2,134,27.13916387,55
15,FALSE,TRUE,0.4,60,36.08740837,148
14,FALSE,TRUE,0.2,135,27.37034259,55
13,FALSE,TRUE,0,88,39.11948643,376
15,FALSE,TRUE,0.4,61,35.6233553,144
14,FALSE,TRUE,0.2,136,27.54946216,55
14,FALSE,TRUE,0.2,137,27.70861968,55
7,TRUE,FALSE,0,139,62.09971521,394
15,FALSE,TRUE,0.4,62,35.9314992,143
14,FALSE,TRUE,0.2,138,27.95408185,55
13,FALSE,TRUE,0,89,39.87913431,389
15,FALSE,TRUE,0.4,63,36.3167648,143
14,FALSE,TRUE,0.2,139,26.63260019,53
14,FALSE,TRUE,0.2,140,25.30941554,52
15,FALSE,TRUE,0.4,64,36.50338127,141
13,FALSE,TRUE,0,90,40.67973731,405
14,FALSE,TRUE,0.2,141,25.52685773,52
14,FALSE,TRUE,0.2,142,25.71133531,52
15,FALSE,TRUE,0.4,65,36.61229917,140
14,FALSE,TRUE,0.2,143,25.13661105,51
7,TRUE,FALSE,0,140,61.96140068,406
15,FALSE,TRUE,0.4,66,36.85256322,139
13,FALSE,TRUE,0,91,41.4435919,418
14,FALSE,TRUE,0.2,144,25.33105693,51
15,FALSE,TRUE,0.4,67,36.5439311,138
14,FALSE,TRUE,0.2,145,24.84209473,50
14,FALSE,TRUE,0.2,146,24.75659749,49
14,FALSE,TRUE,0.2,147,24.93447324,49
