run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees
1,TRUE,TRUE,0,50,33.90201454,114
1,TRUE,TRUE,0,51,33.88621407,117
4,TRUE,TRUE,0,48,38.4966412,147
2,TRUE,TRUE,0,51,36.27178655,152
3,TRUE,TRUE,0,48,35.03816019,170
4,TRUE,TRUE,0,49,38.88497092,148
1,TRUE,TRUE,0,52,34.19962214,116
2,TRUE,TRUE,0,52,36.68891204,153
3,TRUE,TRUE,0,49,35.03928475,168
1,TRUE,TRUE,0,53,34.43057774,120
4,TRUE,TRUE,0,50,39.1628691,149
2,TRUE,TRUE,0,53,36.58497655,155
3,TRUE,TRUE,0,50,33.98866172,166
1,TRUE,TRUE,0,54,34.00540497,120
4,TRUE,TRUE,0,51,39.560004,151
2,TRUE,TRUE,0,54,36.98839946,156
3,TRUE,TRUE,0,51,33.80990096,166
1,TRUE,TRUE,0,55,33.34762851,122
2,TRUE,TRUE,0,55,37.37947635,157
4,TRUE,TRUE,0,52,39.85626475,153
1,TRUE,TRUE,0,56,32.02923761,120
3,TRUE,TRUE,0,52,34.16210119,164
4,TRUE,TRUE,0,53,39.4243157,154
2,TRUE,TRUE,0,56,37.68706259,158
1,TRUE,TRUE,0,57,32.16409004,121
3,TRUE,TRUE,0,53,33.97133767,165
1,TRUE,TRUE,0,58,32.42243498,125
4,TRUE,TRUE,0,54,39.25173087,157
2,TRUE,TRUE,0,57,37.85624918,158
3,TRUE,TRUE,0,54,34.37842311,165
1,TRUE,TRUE,0,59,32.11016937,126
2,TRUE,TRUE,0,58,38.27904265,162
4,TRUE,TRUE,0,55,39.41126516,159
3,TRUE,TRUE,0,55,34.81442509,165
1,TRUE,TRUE,0,60,31.85402184,128
2,TRUE,TRUE,0,59,37.00959881,163
4,TRUE,TRUE,0,56,39.07247956,161
1,TRUE,TRUE,0,61,32.19295114,132
3,TRUE,TRUE,0,56,34.99948841,167
2,TRUE,TRUE,0,60,37.45444168,166
4,TRUE,TRUE,0,57,38.96686834,163
1,TRUE,TRUE,0,62,31.09507325,133
3,TRUE,TRUE,0,57,35.41223715,169
2,TRUE,TRUE,0,61,37.92910432,170
4,TRUE,TRUE,0,58,39.40683459,167
1,TRUE,TRUE,0,63,31.2311887,135
3,TRUE,TRUE,0,58,35.51162041,170
2,TRUE,TRUE,0,62,38.31911825,172
4,TRUE,TRUE,0,59,39.06965026,166
1,TRUE,TRUE,0,64,31.56848909,138
3,TRUE,TRUE,0,59,35.95421568,172
2,TRUE,TRUE,0,63,38.04564528,176
1,TRUE,TRUE,0,65,31.91207586,146
4,TRUE,TRUE,0,60,39.44802599,170
2,TRUE,TRUE,0,64,37.47559148,184
1,TRUE,TRUE,0,66,32.25039022,149
3,TRUE,TRUE,0,60,34.94615683,171
4,TRUE,TRUE,0,61,39.83499279,173
1,TRUE,TRUE,0,67,31.4898488,151
2,TRUE,TRUE,0,65,37.78705631,187
3,TRUE,TRUE,0,61,34.67558215,170
4,TRUE,TRUE,0,62,39.97294282,175
2,TRUE,TRUE,0,66,37.66856706,188
1,TRUE,TRUE,0,68,31.85221538,160
3,TRUE,TRUE,0,62,35.03753217,173
4,TRUE,TRUE,0,63,39.58544536,176
2,TRUE,TRUE,0,67,38.0477833,193
1,TRUE,TRUE,0,69,32.20123915,167
3,TRUE,TRUE,0,63,35.47923583,177
1,TRUE,TRUE,0,70,32.05406238,170
4,TRUE,TRUE,0,64,39.99032002,180
2,TRUE,TRUE,0,68,37.90825673,193
3,TRUE,TRUE,0,64,35.94347986,180
1,TRUE,TRUE,0,71,32.47007551,176
4,TRUE,TRUE,0,65,40.1477648,181
2,TRUE,TRUE,0,69,37.94005563,191
3,TRUE,TRUE,0,65,36.42509903,186
1,TRUE,TRUE,0,72,32.86237178,178
4,TRUE,TRUE,0,66,39.94960971,181
2,TRUE,TRUE,0,70,37.95609949,191
3,TRUE,TRUE,0,66,36.13889383,191
1,TRUE,TRUE,0,73,33.28857959,183
4,TRUE,TRUE,0,67,40.36519792,187
2,TRUE,TRUE,0,71,37.68924426,196
3,TRUE,TRUE,0,67,36.48767753,190
1,TRUE,TRUE,0,74,33.75841611,193
4,TRUE,TRUE,0,68,40.73680548,189
2,TRUE,TRUE,0,72,37.67853853,201
1,TRUE,TRUE,0,75,34.16096361,198
3,TRUE,TRUE,0,68,36.81774105,193
4,TRUE,TRUE,0,69,41.12459353,187
2,TRUE,TRUE,0,73,38.05755719,208
1,TRUE,TRUE,0,76,31.5739291,209
3,TRUE,TRUE,0,69,37.27199763,200
2,TRUE,TRUE,0,74,37.36530302,207
4,TRUE,TRUE,0,70,40.70799066,187
1,TRUE,TRUE,0,77,31.54269008,217
3,TRUE,TRUE,0,70,37.72986305,204
2,TRUE,TRUE,0,75,37.63423503,209
4,TRUE,TRUE,0,71,40.95724467,187
1,TRUE,TRUE,0,78,31.96985877,222
3,TRUE,TRUE,0,71,38.09817533,210
1,TRUE,TRUE,0,79,32.41226639,232
2,TRUE,TRUE,0,76,37.46386566,214
4,TRUE,TRUE,0,72,41.41508017,189
1,TRUE,TRUE,0,80,32.21088517,238
2,TRUE,TRUE,0,77,37.94115527,220
3,TRUE,TRUE,0,72,37.63580946,205
4,TRUE,TRUE,0,73,41.85115373,194
1,TRUE,TRUE,0,81,32.54519465,240
2,TRUE,TRUE,0,78,38.1352437,227
3,TRUE,TRUE,0,73,37.91227227,211
4,TRUE,TRUE,0,74,42.29640993,200
1,TRUE,TRUE,0,82,32.99049937,241
2,TRUE,TRUE,0,79,38.59263802,231
3,TRUE,TRUE,0,74,37.72189638,212
4,TRUE,TRUE,0,75,41.64224822,201
1,TRUE,TRUE,0,83,32.11715176,252
2,TRUE,TRUE,0,80,38.5917063,242
3,TRUE,TRUE,0,75,38.16121438,215
4,TRUE,TRUE,0,76,39.94483799,205
1,TRUE,TRUE,0,84,32.35666073,256
2,TRUE,TRUE,0,81,39.14606998,254
3,TRUE,TRUE,0,76,38.38291971,215
1,TRUE,TRUE,0,85,32.41358902,272
4,TRUE,TRUE,0,77,39.6556698,211
2,TRUE,TRUE,0,82,39.4868462,261
1,TRUE,TRUE,0,86,32.80702199,280
3,TRUE,TRUE,0,77,38.59118627,215
4,TRUE,TRUE,0,78,40.04352994,216
2,TRUE,TRUE,0,83,39.6805127,268
1,TRUE,TRUE,0,87,33.35961582,291
3,TRUE,TRUE,0,78,39.10110987,219
4,TRUE,TRUE,0,79,40.56277665,223
2,TRUE,TRUE,0,84,39.55858566,279
1,TRUE,TRUE,0,88,33.95237472,302
3,TRUE,TRUE,0,79,39.65542074,224
4,TRUE,TRUE,0,80,39.6975339,228
2,TRUE,TRUE,0,85,39.57547151,287
1,TRUE,TRUE,0,89,33.7215073,309
4,TRUE,TRUE,0,81,40.08268387,235
3,TRUE,TRUE,0,80,39.32228667,228
2,TRUE,TRUE,0,86,39.95194751,293
1,TRUE,TRUE,0,90,33.76214647,317
4,TRUE,TRUE,0,82,40.22674052,237
3,TRUE,TRUE,0,81,39.87093151,238
2,TRUE,TRUE,0,87,39.95516154,298
1,TRUE,TRUE,0,91,34.26200789,331
4,TRUE,TRUE,0,83,40.58605308,243
3,TRUE,TRUE,0,82,40.26413161,245
2,TRUE,TRUE,0,88,39.03185816,313
1,TRUE,TRUE,0,92,34.85146759,340
3,TRUE,TRUE,0,83,40.61574148,249
4,TRUE,TRUE,0,84,41.00338584,248
2,TRUE,TRUE,0,89,38.77561047,315
1,TRUE,TRUE,0,93,34.57945524,351
4,TRUE,TRUE,0,85,41.15434345,251
2,TRUE,TRUE,0,90,38.74054626,326
3,TRUE,TRUE,0,84,40.7986103,251
1,TRUE,TRUE,0,94,35.24708665,368
4,TRUE,TRUE,0,86,39.76448375,252
2,TRUE,TRUE,0,91,39.39528208,339
1,TRUE,TRUE,0,95,35.10752399,386
3,TRUE,TRUE,0,85,40.21445356,255
4,TRUE,TRUE,0,87,40.22198549,257
3,TRUE,TRUE,0,86,40.15495516,255
2,TRUE,TRUE,0,92,38.24292888,339
1,TRUE,TRUE,0,96,35.40235746,396
3,TRUE,TRUE,0,87,40.46164005,259
2,TRUE,TRUE,0,93,38.92615045,353
4,TRUE,TRUE,0,88,39.50947066,265
1,TRUE,TRUE,0,97,35.42740952,402
2,TRUE,TRUE,0,94,38.88643245,369
1,TRUE,TRUE,0,98,36.05868293,414
4,TRUE,TRUE,0,89,38.90885412,276
3,TRUE,TRUE,0,88,39.87398923,269
2,TRUE,TRUE,0,95,39.62550209,386
1,TRUE,TRUE,0,99,35.55518122,426
4,TRUE,TRUE,0,90,38.65293523,281
3,TRUE,TRUE,0,89,40.37833364,282
4,TRUE,TRUE,0,91,38.90887238,291
2,TRUE,TRUE,0,96,39.76775723,397
1,TRUE,TRUE,0,100,35.8573099,443
3,TRUE,TRUE,0,90,39.86387764,292
2,TRUE,TRUE,0,97,39.60937561,415
1,TRUE,TRUE,0,101,36.50169402,459
3,TRUE,TRUE,0,91,38.93937448,302
4,TRUE,TRUE,0,92,39.55711864,302
2,TRUE,TRUE,0,98,38.84303481,440
1,TRUE,TRUE,0,102,37.25064631,485
4,TRUE,TRUE,0,93,39.26782026,309
3,TRUE,TRUE,0,92,37.88498812,311
2,TRUE,TRUE,0,99,39.50198311,455
1,TRUE,TRUE,0,103,37.24629717,504
4,TRUE,TRUE,0,94,37.60940134,318
3,TRUE,TRUE,0,93,38.46004112,323
2,TRUE,TRUE,0,100,39.93975907,480
4,TRUE,TRUE,0,95,38.32546784,337
1,TRUE,TRUE,0,104,37.60660828,524
3,TRUE,TRUE,0,94,38.87819806,332
2,TRUE,TRUE,0,101,39.57094241,494
1,TRUE,TRUE,0,105,38.43705857,543
3,TRUE,TRUE,0,95,39.51465608,348
4,TRUE,TRUE,0,96,39.05742543,363
2,TRUE,TRUE,0,102,40.23088001,508
1,TRUE,TRUE,0,106,39.14020418,561
4,TRUE,TRUE,0,97,39.2566224,372
3,TRUE,TRUE,0,96,38.6994513,355
2,TRUE,TRUE,0,103,40.95731356,532
1,TRUE,TRUE,0,107,39.89054426,583
4,TRUE,TRUE,0,98,39.9095826,377
3,TRUE,TRUE,0,97,38.69178342,364
2,TRUE,TRUE,0,104,41.69175192,547
4,TRUE,TRUE,0,99,40.58831137,400
1,TRUE,TRUE,0,108,40.62276011,606
3,TRUE,TRUE,0,98,38.16834717,374
2,TRUE,TRUE,0,105,41.80867862,570
1,TRUE,TRUE,0,109,39.9049638,619
3,TRUE,TRUE,0,99,38.66709937,385
4,TRUE,TRUE,0,100,40.60509945,417
2,TRUE,TRUE,0,106,42.79206917,590
1,TRUE,TRUE,0,110,40.75492222,639
4,TRUE,TRUE,0,101,41.40583318,432
3,TRUE,TRUE,0,100,39.07451055,400
2,TRUE,TRUE,0,107,42.41033249,606
1,TRUE,TRUE,0,111,41.86314354,663
4,TRUE,TRUE,0,102,41.43348814,448
3,TRUE,TRUE,0,101,38.71904678,413
2,TRUE,TRUE,0,108,43.40879891,633
1,TRUE,TRUE,0,112,42.83340615,676
4,TRUE,TRUE,0,103,42.066475,471
3,TRUE,TRUE,0,102,39.49236497,434
2,TRUE,TRUE,0,109,44.38014103,665
3,TRUE,TRUE,0,103,40.33037202,451
1,TRUE,TRUE,0,113,43.3265884,673
4,TRUE,TRUE,0,104,43.01304606,496
2,TRUE,TRUE,0,110,45.39171036,688
1,TRUE,TRUE,0,114,46.49476272,682
3,TRUE,TRUE,0,104,40.2787008,462
4,TRUE,TRUE,0,105,43.55052364,516
2,TRUE,TRUE,0,111,46.3015452,712
3,TRUE,TRUE,0,105,41.11234332,481
1,TRUE,TRUE,0,115,46.86588612,694
4,TRUE,TRUE,0,106,44.48531595,547
2,TRUE,TRUE,0,112,47.60784407,754
4,TRUE,TRUE,0,107,45.38344904,577
3,TRUE,TRUE,0,106,41.71959757,487
1,TRUE,TRUE,0,116,47.1344307,697
2,TRUE,TRUE,0,113,47.41122978,785
3,TRUE,TRUE,0,107,42.64294136,506
4,TRUE,TRUE,0,108,45.5839428,601
1,TRUE,TRUE,0,117,47.2129498,689
2,TRUE,TRUE,0,114,51.23207843,825
4,TRUE,TRUE,0,109,46.07960384,628
3,TRUE,TRUE,0,108,43.42610771,529
