ID,Dead,GR,DBH,SL
672,0,0.75,44.9,12
674,0,2.25,14.6,12
686,0,3,37.8,12
698,0,2,11.3,12
699,0,4,18.6,12
700,0,3.75,21.9,12
701,0,4,36.3,12
703,0,2,17,12
707,0,2.25,16.2,12
709,0,5,27.8,12
710,0,1.75,15.7,12
715,0,2.75,25.3,12
721,0,2.25,37.8,12
724,0,0,5,12
727,0,-0.75,50.9,12
729,0,1.25,66.1,12
731,0,-0.75,26.8,12
732,0,1.25,66.1,12
734,0,0.75,40.1,12
736,0,0.5,38.4,12
737,0,0.25,36.4,12
738,0,2.75,40.6,12
741,0,3,13.6,12
757,0,4,10.2,12
762,0,4.5,24.1,12
768,0,3.5,13.2,12
776,1,0,28,12
777,0,2.75,11,12
786,0,5,25.9,12
790,0,2.5,18,12
801,0,1.5,11.1,12
802,0,1.25,13.6,12
818,0,4.75,18.8,12
823,0,1.5,7.6,12
824,1,0.25,27.2,12
831,1,3.75,23.5,12
834,1,0.25,22.1,12
837,0,6,29.1,12
839,0,2.25,26,12
845,0,1.5,23.5,12
846,0,3.25,30.3,12
888,0,3.5,18,12
891,0,3.25,27.7,12
896,1,-0.25,9.8,12
908,0,3.75,21.6,12
909,0,0.25,10.3,12
910,0,1.25,12.6,12
938,0,4,8.9,12
940,0,1.75,9.3,12
941,0,3,35.6,12
943,0,1.25,20.6,12
944,1,-0.75,31.5,12
949,0,2.5,29.6,12
958,1,2,5.9,12
966,0,0.75,11.1,12
967,0,0.75,7.6,12
975,0,3.75,10.1,12
982,0,2,8.4,12
986,0,0.25,15.4,12
1001,0,2.5,28.1,12
1002,0,2.5,10.9,12
1005,0,2,72.4,12
1006,0,1,22.7,12
1007,0,7.25,28.7,12
1009,0,4.75,15.6,12
1020,0,2.5,23.3,12
1027,1,2.25,39.1,12
1030,0,4.25,26.2,12
1031,0,6,16.4,12
1034,1,3.75,18.7,12
1036,1,3,31.8,12
1041,0,5.5,35.9,12
1042,0,1,15.7,12
1044,1,3.25,24.3,12
