Block,Year,F_BA,I_BA,Q_BA,FS,IS,QS,FM,IM,QM,SDM,BAM,BAFM,BAQM,SDS,Northing,Easting
14,1988,22.98342061,0.282743339,19.75441315,2,0,0,12,1,2,15,43.0205771,22.98342061,19.75441315,2,106647,433038
14,1996,19.71027377,0.441786467,19.97024056,1,0,0,9,1,2,12,40.1223008,19.71027377,19.97024056,1,106647,433038
14,2014,26.55420653,0.704310491,20.87993263,1,2,0,10,3,2,15,48.13844965,26.55420653,20.87993263,3,106647,433038
15,1964,22.0132379,0,37.11202672,1,7,0,10,9,2,21,59.12526461,22.0132379,37.11202672,8,106624,433036
15,1984,20.33073832,0.733679694,37.54998437,1,7,0,5,10,2,17,58.61440238,20.33073832,37.54998437,8,106624,433036
15,1988,1.844468317,0.66077511,38.2203806,0,5,0,2,7,2,11,40.72562403,1.844468317,38.2203806,5,106624,433036
15,1996,1.474113813,0.613867205,39.14591343,0,3,0,1,5,2,8,41.23389445,1.474113813,39.14591343,3,106624,433036
15,2014,1.683859352,1.063353436,40.95263007,0,0,0,1,2,2,5,43.69984285,1.683859352,40.95263007,0,106624,433036
16,1964,39.99541972,1.080413349,0,2,8,0,11,11,0,22,41.07583307,39.99541972,0,10,106602,433034
16,1984,14.41437322,0.854984441,0,0,3,0,6,6,0,12,15.26935766,14.41437322,0,3,106602,433034
16,1988,15.78567842,1.007822923,0,0,0,0,6,2,0,8,16.79350134,15.78567842,0,0,106602,433034
16,1996,18.12190416,0.496391274,0,0,0,0,5,1,0,6,18.61829543,18.12190416,0,0,106602,433034
16,2014,23.49733798,0,0,0,0,0,5,0,0,5,23.49733798,23.49733798,0,0,106602,433034
17,1964,52.96528864,0.471729772,0,1,10,0,7,11,0,18,53.43701842,52.96528864,0,11,106585,433028
17,1984,48.45072183,0.733031741,0,1,5,0,6,7,0,13,49.18375357,48.45072183,0,6,106585,433028
17,1988,46.08351213,0.453645979,0,1,6,0,5,7,0,12,46.53715811,46.08351213,0,7,106585,433028
17,1996,27.07781905,0,0,0,0,0,4,0,0,4,27.07781905,27.07781905,0,0,106585,433028
17,2014,28.40343537,0,0,0,8,0,4,8,0,12,28.40343537,28.40343537,0,8,106585,433028
18,1964,25.7959118,0.237582944,9.759063054,3,6,0,16,7,1,25,41.10184939,25.7959118,9.759063054,9,106571,433031
18,1984,26.70862301,0.241922269,10.34911306,2,4,0,9,5,1,15,37.29965834,26.70862301,10.34911306,6,106571,433031
18,1988,26.80764208,0.259672268,10.34911306,1,3,0,9,4,1,14,37.41642741,26.80764208,10.34911306,4,106571,433031
18,1996,31.48663201,0,10.81029886,1,2,0,9,2,1,12,42.29693087,31.48663201,10.81029886,3,106571,433031
18,2014,32.94950195,0.3509369,11.94159368,0,0,0,8,1,1,10,45.24203253,32.94950195,11.94159368,0,106571,433031
19,1964,25.29914746,1.506000978,2.611939767,3,6,0,13,12,2,28,32.88069411,25.29914746,2.611939767,9,106550,433024
19,1984,27.29680769,1.671209482,3.259598728,2,3,0,10,8,2,21,35.64191843,27.29680769,3.259598728,5,106550,433024
19,1988,27.00016281,1.647117393,3.495198542,2,2,0,10,8,2,21,35.57317646,27.00016281,3.495198542,4,106550,433024
19,1996,28.18579987,2.513902441,4.307221703,1,0,0,9,7,2,18,35.00692402,28.18579987,4.307221703,1,106550,433024
19,2014,33.12601514,3.253921738,5.478909909,0,0,0,8,6,2,16,41.85884679,33.12601514,5.478909909,0,106550,433024
20,1964,13.58100687,1.822614613,15.55284713,0,6,0,7,11,1,19,30.95646861,13.58100687,15.55284713,6,106531,433028
20,1984,18.68042043,0.204282062,14.93010493,0,8,0,7,9,1,17,33.81480742,18.68042043,14.93010493,8,106531,433028
20,1988,20.0357624,0.229022104,15.30915772,0,5,0,7,6,1,14,35.57394222,20.0357624,15.30915772,5,106531,433028
20,1996,23.71786607,0,15.83370551,0,1,0,7,1,1,9,39.55157159,23.71786607,15.83370551,1,106531,433028
20,2014,29.33553605,0.250718729,16.21594811,0,0,0,7,1,1,9,45.80220288,29.33553605,16.21594811,0,106531,433028
21,1964,14.51464893,1.824578108,56.55652175,5,4,0,23,9,3,35,72.89574879,14.51464893,56.55652175,9,106506,433029
21,1984,21.00013317,2.248634212,52.24362554,2,5,0,18,11,3,32,75.49239293,21.00013317,52.24362554,7,106506,433029
21,1988,21.97002136,2.11268179,51.11632392,1,5,0,17,10,3,30,75.19902708,21.97002136,51.11632392,6,106506,433029
21,1996,25.98947318,2.361810087,48.03599233,1,3,0,17,8,2,27,76.38727559,25.98947318,48.03599233,4,106506,433029
21,2014,32.3828597,1.392555659,49.69840284,0,2,0,15,6,2,23,83.4738182,32.3828597,49.69840284,2,106506,433029
22,1964,20.46943963,2.915790682,16.98227179,2,10,0,15,15,1,31,40.3675021,20.46943963,16.98227179,12,106486,433024
22,1984,26.52101102,2.874184214,0,1,4,0,10,8,0,18,29.39519524,26.52101102,0,5,106486,433024
22,1988,27.41436216,3.37811531,0,1,1,0,9,6,0,15,30.79247747,27.41436216,0,2,106486,433024
22,1996,21.20586822,1.874765051,0,1,1,0,6,2,0,8,23.08063327,21.20586822,0,2,106486,433024
22,2014,26.00641603,1.757866429,0,1,0,0,6,1,0,7,27.76428246,26.00641603,0,1,106486,433024
23,1964,21.75651087,0.667588439,12.56637061,3,2,0,14,4,1,19,34.99046993,21.75651087,12.56637061,5,106473,433024
23,1984,34.42091881,0.441786467,13.55913353,1,2,0,12,3,1,16,48.42183881,34.42091881,13.55913353,3,106473,433024
23,1988,35.21373899,0.453645979,13.98668465,1,2,0,11,3,1,15,49.65406962,35.21373899,13.98668465,3,106473,433024
