Block,Year,Tree_ID,GBH,DBH,Status,Snag,Species,Easting,Northing,In_out
3,1959,61,NA,0.8,1,No,I,433044.2,106863.2,In
3,1964,61,NA,0.9,1,No,I,433044.2,106863.2,In
3,1964,62,NA,0.5,1,No,F,433044.2,106859.3,In
3,1964,63,NA,0.8,1,No,I,433044.1,106864.7,In
3,1959,64,NA,57,NA,No,Q,433043.5,106856,In
3,1964,64,NA,83,0,No,Q,433043.5,106856,In
3,1984,64,NA,83,0,No,Q,433043.5,106856,In
3,1988,64,NA,83,0,No,Q,433043.5,106856,In
3,1964,65,NA,0.7,1,No,A,433043.5,106851.8,In
3,1959,66,NA,1,NA,No,A,433043.4,106867.5,In
3,1964,66,NA,1.3,1,No,A,433043.4,106867.5,In
3,1964,67,NA,0.9,1,No,A,433043.4,106851.8,In
3,1964,68,NA,0.8,1,No,F,433043.3,106856.7,In
3,1959,69,NA,0.5,NA,No,F,433043.2,106862.8,In
3,1964,69,NA,0.8,1,No,F,433043.2,106862.8,In
3,1964,70,NA,1,1,No,F,433043.2,106861.9,In
3,1964,71,NA,0.9,1,No,F,433042.8,106859.9,In
3,1964,72,NA,0.7,1,No,F,433042.8,106857.6,In
3,1964,73,NA,1,1,No,I,433042.7,106863.2,In
3,1964,74,NA,0.5,1,No,F,433042.7,106861.9,In
3,1964,75,NA,0.5,1,No,I,433042.5,106858.2,In
3,1959,76,NA,54,1,No,Q,433042.4,106859.2,In
3,1964,76,NA,53,1,No,Q,433042.4,106859.2,In
3,1984,76,170,54.1,1,No,Q,433042.4,106859.2,In
3,1988,76,165.3,52.6,1,No,Q,433042.4,106859.2,In
3,1996,76,164,52.2,1,No,Q,433042.4,106859.2,In
3,2014,76,172,54.7493,0,Yes,Q,433042.4,106859.2,In
3,1964,77,NA,0.5,1,No,A,433042.3,106852.9,In
3,1964,78,NA,0.7,1,No,F,433042.3,106848.4,In
3,1964,79,NA,0.6,1,No,F,433042.2,106854.8,In
3,1964,80,NA,0.6,1,No,F,433042,106861.8,In
3,1959,81,NA,0.5,1,No,A,433042,106854,In
3,1964,82,NA,0.6,1,No,I,433041.9,106855.8,In
3,1959,83,NA,0.4,NA,No,I,433041.8,106865,In
3,1964,83,NA,0.8,1,No,I,433041.8,106865,In
3,1959,84,NA,0.5,1,No,A,433041.7,106866.7,In
3,1964,84,NA,0.6,1,No,A,433041.7,106866.7,In
3,1964,85,NA,0.2,1,No,F,433041.7,106865.4,In
3,1964,86,NA,0.9,1,No,F,433041.7,106858.6,In
3,1959,87,NA,0.5,NA,No,A,433041.6,106865.9,In
3,1964,87,NA,0.9,1,No,A,433041.6,106865.9,In
3,1964,88,NA,0.6,1,No,A,433041.6,106860.8,In
3,1964,89,NA,0.3,1,No,I,433041.5,106861.4,In
3,1964,90,NA,0.8,1,No,I,433041.4,106860.2,In
3,1959,91,NA,0.5,NA,No,A,433041.3,106853.3,In
3,1964,91,NA,1.9,1,No,A,433041.3,106853.3,In
3,1959,92,NA,1,NA,No,A,433040.8,106866.8,In
3,1964,92,NA,1.6,1,No,A,433040.8,106866.8,In
3,1959,93,NA,1.25,1,No,A,433040.8,106864.8,In
3,1964,93,NA,2.5,1,No,A,433040.8,106864.8,In
3,1959,94,NA,57.5,NA,No,Q,433040.8,106850.6,In
3,1964,94,NA,59,1,No,Q,433040.8,106850.6,In
3,1984,94,192,61.1,1,No,Q,433040.8,106850.6,In
3,1988,94,191,60.8,1,No,Q,433040.8,106850.6,In
3,1996,94,195,62.1,1,No,Q,433040.8,106850.6,In
3,2014,94,200,63.66198,1,No,Q,433040.8,106850.6,In
3,1959,95,NA,64,1,No,Q,433040.7,106851.8,In
3,1964,95,NA,63,1,No,Q,433040.7,106851.8,In
3,1984,95,210,66.8,1,No,Q,433040.7,106851.8,In
3,1988,95,207,65.9,1,No,Q,433040.7,106851.8,In
3,1964,96,NA,0.4,1,No,F,433040.6,106866.9,In
3,1959,97,NA,19.5,1,No,I,433040.6,106852.5,In
3,1964,97,NA,21,1,No,I,433040.6,106852.5,In
3,1959,98,NA,12.5,1,No,I,433040.6,106852.5,In
3,1964,98,NA,16,1,No,I,433040.6,106852.5,In
3,1984,98,52,16.6,1,No,I,433040.6,106852.5,In
3,1959,99,NA,3,NA,No,I,433040.6,106852.5,In
3,1964,99,NA,5,1,No,I,433040.6,106852.5,In
3,1984,99,NA,8,1,No,I,433040.6,106852.5,In
3,1988,99,28.3,9,1,No,I,433040.6,106852.5,In
3,1996,99,32,10.2,1,No,I,433040.6,106852.5,In
3,2014,99,35,11.14085,1,No,I,433040.6,106852.5,In
4,1964,110,NA,0.3,1,No,A,433062.4,106832.3,In
4,1959,111,NA,1.5,NA,No,A,433060.6,106836.7,In
4,1964,112,NA,0.7,1,No,I,433060.5,106829.6,In
4,1959,113,NA,0.4,NA,No,A,433060.4,106835.5,In
4,1964,113,NA,0.6,1,No,A,433060.4,106835.5,In
4,1964,114,NA,0.9,1,No,I,433060.4,106828.6,In
4,1959,115,NA,49,1,No,Q,433060.3,106841.6,In
4,1964,115,NA,51,1,No,Q,433060.3,106841.6,In
4,1984,115,165,52.5,0,No,Q,433060.3,106841.6,In
4,1959,116,NA,66,1,No,F,433060.2,106829,In
4,1964,116,NA,71,1,No,F,433060.2,106829,In
4,1984,116,245,78,1,No,F,433060.2,106829,In
4,1988,116,242,77,1,No,F,433060.2,106829,In
4,1996,116,231,73.5,1,No,F,433060.2,106829,In
4,2014,116,247,78.62254189,NA,No,F,433060.2,106829,In
4,1964,117,NA,1,1,No,A,433059.9,106835.8,In
4,1964,118,NA,1.2,1,No,I,433059.9,106829,In
4,1964,119,NA,0.6,1,No,A,433059.8,106832.3,In
4,1959,120,NA,0.4,1,No,A,433057.7,106840.2,In
4,1964,120,NA,0.9,1,No,A,433057.7,106840.2,In
4,1959,121,NA,1,1,No,A,433057.2,106833.2,In
4,1964,121,NA,0.9,1,No,A,433057.2,106833.2,In
4,1959,122,NA,0.8,NA,No,A,433056.7,106833.9,In
4,1964,122,NA,0.7,1,No,A,433056.7,106833.9,In
4,1959,123,NA,61,NA,No,F,433056,106833.6,In
4,1964,123,NA,66,1,No,F,433056,106833.6,In
4,1984,123,204,64.9,1,No,F,433056,106833.6,In
4,1988,123,203,64.6,1,No,F,433056,106833.6,In
4,1996,123,181,57.6,0,No,F,433056,106833.6,In
4,2014,123,69,21.96338215,0,Yes,F,433056,106833.6,In
4,1964,124,NA,0.9,1,No,I,433053.3,106841.7,In
4,1959,125,NA,65,1,No,Q,433053.3,106828.4,In
4,1964,125,NA,66,1,No,Q,433053.3,106828.4,In
4,1984,125,242,77,1,No,Q,433053.3,106828.4,In
4,1988,125,247,78.6,1,No,Q,433053.3,106828.4,In
4,1996,125,261,83.1,1,No,Q,433053.3,106828.4,In
4,2014,125,290,92.30986699,1,No,Q,433053.3,106828.4,In
4,1964,126,NA,0.7,1,No,A,433052.7,106842,In
4,1959,127,NA,59,NA,No,Q,433052.3,106845,In
4,1964,127,NA,61,1,No,Q,433052.3,106845,In
4,1984,127,233,74.2,1,No,Q,433052.3,106845,In
4,1988,127,235,74.8,1,No,Q,433052.3,106845,In
4,1996,127,236,75.1,1,No,Q,433052.3,106845,In
4,2014,127,256,81.48733086,1,No,Q,433052.3,106845,In
4,1964,128,NA,0.5,1,No,F,433051.6,106841.3,In
4,1959,129,NA,17,1,No,I,433050.7,106831.8,In
4,1964,129,NA,19,1,No,I,433050.7,106831.8,In
4,1959,130,NA,10,1,Yes,I,433050.7,106831.8,In
4,1964,130,NA,12,1,No,I,433050.7,106831.8,In
4,1984,130,53,16.9,1,No,I,433050.7,106831.8,In
4,1988,130,NA,14,0,No,I,433050.7,106831.8,In
4,1996,130,42,13.4,0,No,I,433050.7,106831.8,In
4,1984,131,NA,9,1,No,I,433050.7,106831.8,In
4,1988,131,30,9.5,1,No,I,433050.7,106831.8,In
4,1996,131,31,9.9,1,No,I,433050.7,106831.8,In
4,1984,132,NA,6,1,No,I,433050.7,106831.8,In
4,1988,132,20.3,6.5,1,No,I,433050.7,106831.8,In
4,1996,132,14,4.5,NA,No,I,433050.7,106831.8,In
4,1959,133,NA,20,NA,No,I,433050.4,106843.3,In
4,1964,133,NA,22,1,No,I,433050.4,106843.3,In
4,1984,134,50,15.9,0,No,I,433050.4,106843.3,In
4,1988,134,NA,15,0,No,I,433050.4,106843.3,In
4,1996,134,46,14.6,0,No,I,433050.4,106843.3,In
4,1959,135,NA,68,1,No,Q,433049.8,106830,In
4,1964,135,NA,69,1,No,Q,433049.8,106830,In
4,1964,136,NA,0.6,1,No,I,433049.3,106828.7,In
4,1964,137,NA,0.6,1,No,A,433047.6,106840.5,In
4,1959,138,NA,42,NA,No,Q,433047.2,106842.5,In
4,1964,138,NA,42,1,No,Q,433047.2,106842.5,In
4,1984,138,133,42.3,1,No,Q,433047.2,106842.5,In
4,1988,138,NA,38.5,0,No,Q,433047.2,106842.5,In
4,1996,138,121,38.5,0,No,Q,433047.2,106842.5,In
4,2014,138,124,39.47042589,0,Yes,Q,433047.2,106842.5,In
4,1964,139,NA,0.5,1,No,F,433046.8,106845.2,In
4,1959,140,NA,42,NA,No,F,433045.8,106828.3,In
4,1964,140,NA,42,1,No,F,433045.8,106828.3,In
4,1984,140,145,46.2,1,No,F,433045.8,106828.3,In
4,1988,140,145,46.2,1,No,F,433045.8,106828.3,In
4,1996,140,145,46.2,1,No,F,433045.8,106828.3,In
