"ID2","Year","DBH","BA","Dead","Dead2","Dead_cum","Dead3","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL","Easting","Northing","Species","Dead_cum2"
18,1964,34,0.090792027688745,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433059.7,106876,"F",0
18,1984,47.7,0.178700858719658,0,0,0,0,NA,NA,NA,NA,34,0.090792027688745,0.167452554764624,20,433059.7,106876,"F",0
18,1988,48.3,0.183224752140827,0,0,0,0,6.85,43.9544155154565,1.43605870020964,0.0484121972318339,47.7,0.178700858719658,0.254945891524418,4,433059.7,106876,"F",0
18,1996,48.1,0.181710504481797,0,0,0,0,1.49999999999999,11.3097335529232,0.310559006211177,0.00632886357343455,48.3,0.183224752140827,0.250289289984426,12,433059.7,106876,"F",0
18,2014,58.88732894,0.272353896328994,0,0,0,0,-0.249999999999995,-1.89280957378784,-0.0519750519750509,-0.00103305342300751,48.1,0.181710504481797,0.269055852300337,18,433059.7,106876,"F",0
19,1964,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433059.7,106876,"F",NA
19,1984,12.7,0.0126676869774374,0,0,0,0,NA,NA,NA,NA,NA,NA,0,20,433059.7,106876,"F",0
19,1988,11.5,0.0103868907109313,0,0,0,0,NA,NA,NA,NA,12.7,0.0126676869774374,0.0213540892069998,4,433059.7,106876,"F",0
19,1996,10.2,0.00817128249198705,0,0,0,0,-3,-5.70199066626548,-2.60869565217391,-0.0450120900241801,11.5,0.0103868907109313,0.0147187888384585,12,433059.7,106876,"F",0
19,2014,14.64225,0.0168385820208793,0,0,0,0,-1.625,-2.76951027368025,-1.59313725490196,-0.0266635160680529,10.2,0.00817128249198705,0.00904440870592699,18,433059.7,106876,"F",0
20,1964,16,0.0201061929829747,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433059.2,106875.7,"I",0
20,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,16,0.0201061929829747,0.0548538932457706,20,433059.2,106875.7,"I",1
20,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433059.2,106875.7,"I",1
20,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433059.2,106875.7,"I",1
20,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433059.2,106875.7,"I",1
21,1964,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433059.2,106875.7,"I",NA
21,1984,12.7,0.0126676869774374,0,0,0,0,NA,NA,NA,NA,NA,NA,0,20,433059.2,106875.7,"I",0
21,1988,11.5,0.0103868907109313,0,0,0,0,NA,NA,NA,NA,12.7,0.0126676869774374,0.0213540892069998,4,433059.2,106875.7,"I",0
21,1996,13.4,0.0141026094219646,0,0,0,0,-3,-5.70199066626548,-2.60869565217391,-0.0450120900241801,11.5,0.0103868907109313,0.0147187888384585,12,433059.2,106875.7,"I",0
21,2014,17.82535,0.0249554849231918,0,0,0,0,2.375,4.64464838879166,1.77238805970149,0.0447164461247637,13.4,0.0141026094219646,0.0184449671737985,18,433059.2,106875.7,"I",0
22,1964,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433059.2,106875.7,"I",NA
22,1984,7,0.0038484510006475,0,0,0,0,NA,NA,NA,NA,NA,NA,0,20,433059.2,106875.7,"I",0
22,1988,8.1,0.00515299735005066,0,0,0,0,NA,NA,NA,NA,7,0.0038484510006475,0.00283079498314511,4,433059.2,106875.7,"I",0
22,1996,7.6,0.00453645979178366,0,0,0,0,2.75,3.2613658735079,3.39506172839506,0.0847448979591837,8.1,0.00515299735005066,0.00511033884141187,12,433059.2,106875.7,"I",0
22,2014,17.18873,0.0232047802972028,0,0,0,0,-0.625,-0.770671947833746,-0.822368421052632,-0.01495579942082,7.6,0.00453645979178366,0.00372153691246267,18,433059.2,106875.7,"I",0
23,1964,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433059.2,106875.7,"I",NA
23,1984,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,20,433059.2,106875.7,"I",0
23,1988,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,433059.2,106875.7,"I",0
23,1996,3.8,0.00113411494794592,0,0,0,0,NA,NA,NA,NA,NA,NA,0,12,433059.2,106875.7,"I",0
23,2014,9.230987,0.00669246579298581,0,0,0,0,NA,NA,NA,NA,3.8,0.00113411494794592,0.000218634175544192,18,433059.2,106875.7,"I",0
25,1964,81,0.515299735005066,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433052,106872.7,"Q",0
25,1984,84.4,0.559467386121885,0,0,0,0,NA,NA,NA,NA,81,0.515299735005066,0.619210187928014,20,433052,106872.7,"Q",0
25,1988,84.7,0.5634517110048,0,0,0,0,1.7,22.0838255584094,0.201421800947868,0.00428562719097698,84.4,0.559467386121885,0.63749724982083,4,433052,106872.7,"Q",0
25,1996,84.4,0.559467386121885,0,0,0,0,0.749999999999993,9.96081220728834,0.0885478158205422,0.00178040980660815,84.7,0.5634517110048,0.664717743883674,12,433052,106872.7,"Q",0
25,2014,86.58029,0.588745978514461,0,0,0,0,-0.374999999999996,-4.98040610364417,-0.0444312796208527,-0.000883910015068131,84.4,0.559467386121885,0.668891169743815,18,433052,106872.7,"Q",0
30,1964,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433040.6,106852.5,"I",NA
30,1984,5,0.00196349540849362,0,0,0,0,NA,NA,NA,NA,NA,NA,0,20,433040.6,106852.5,"I",0
30,1988,6.1,0.0029224665660019,0,0,0,0,NA,NA,NA,NA,5,0.00196349540849362,0.000860287069527236,4,433040.6,106852.5,"I",0
30,1996,7,0.0038484510006475,0,0,0,0,2.75,2.39742789377071,4.50819672131147,0.1221,6.1,0.0029224665660019,0.00222856270937882,12,433040.6,106852.5,"I",0
30,2014,9.230986699,0.0066924653565358,0,0,0,0,1.125,1.15748054330699,1.60714285714286,0.0396062886320882,7,0.0038484510006475,0.00253084641937755,18,433040.6,106852.5,"I",0
31,1964,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433040.6,106852.5,"I",NA
31,1984,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,20,433040.6,106852.5,"I",0
31,1988,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,433040.6,106852.5,"I",0
31,1996,2.2,0.000380132711084365,0,0,0,0,NA,NA,NA,NA,NA,NA,0,12,433040.6,106852.5,"I",0
31,2014,11.30000096,0.0100287508524219,0,0,0,0,NA,NA,NA,NA,2.2,0.000380132711084365,2.6226866253242e-05,18,433040.6,106852.5,"I",0
32,1964,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433040.6,106852.5,"I",NA
32,1984,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,20,433040.6,106852.5,"I",0
32,1988,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,433040.6,106852.5,"I",0
32,1996,2.2,0.000380132711084365,0,0,0,0,NA,NA,NA,NA,NA,NA,0,12,433040.6,106852.5,"I",0
32,2014,14.96056465,0.0175786634630002,0,0,0,0,NA,NA,NA,NA,2.2,0.000380132711084365,2.6226866253242e-05,18,433040.6,106852.5,"I",0
35,1964,0.7,3.8484510006475e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433039.7,106866.4,"I",0
35,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.7,3.8484510006475e-05,1.52574994578081e-05,20,433039.7,106866.4,"I",1
35,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433039.7,106866.4,"I",1
35,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433039.7,106866.4,"I",1
35,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433039.7,106866.4,"I",1
37,1964,3,0.000706858347057703,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433039.3,106860.5,"I",0
37,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,3,0.000706858347057703,0.000195926053281715,20,433039.3,106860.5,"I",1
37,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433039.3,106860.5,"I",1
