"ID2","Year","DBH","BA","Dead","Dead2","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL"
18,1996,48.1,0.1817109294,0,0,1.49999999999999,11.3097599999999,0.310559006211177,0.00632886357343455,48.3,0.1832251806,0.250289289984426,12
18,2014,58.88732894,0.272354533210877,0,0,-0.249999999999995,-1.89281399999998,-0.0519750519750509,-0.0010330534230075,48.1,0.1817109294,0.269055852300337,18
19,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1984,12.7,0.0126677166,0,2,NA,NA,NA,NA,NA,NA,0,20
19,1988,11.5,0.010386915,0,0,NA,NA,NA,NA,12.7,0.0126677166,0.0213540892069998,4
19,1996,10.2,0.0081713016,0,0,-3,-5.702004,-2.60869565217391,-0.0450120900241801,11.5,0.010386915,0.0147187888384585,12
19,2014,14.64225,0.0168386213968088,0,0,-1.625,-2.76951675,-1.59313725490196,-0.0266635160680529,10.2,0.0081713016,0.00904440870592699,18
20,1964,16,0.02010624,0,0,NA,NA,NA,NA,NA,NA,NA,NA
20,1984,NA,NA,NA,1,NA,NA,NA,NA,16,0.02010624,0.0548538932457706,20
20,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
20,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
20,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
21,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1984,12.7,0.0126677166,0,2,NA,NA,NA,NA,NA,NA,0,20
21,1988,11.5,0.010386915,0,0,NA,NA,NA,NA,12.7,0.0126677166,0.0213540892069998,4
21,1996,13.4,0.0141026424,0,0,-3,-5.702004,-2.60869565217391,-0.0450120900241801,11.5,0.010386915,0.0147187888384585,12
21,2014,17.82535,0.0249555432799712,0,0,2.375,4.64465925,1.77238805970149,0.0447164461247637,13.4,0.0141026424,0.0184449671737985,18
22,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1984,7,0.00384846,0,2,NA,NA,NA,NA,NA,NA,0,20
22,1988,8.1,0.0051530094,0,0,NA,NA,NA,NA,7,0.00384846,0.00283079498314511,4
22,1996,7.6,0.0045364704,0,0,2.75,3.2613735,3.39506172839506,0.0847448979591837,8.1,0.0051530094,0.00511033884141187,12
22,2014,17.18873,0.0232048345600732,0,0,-0.625,-0.77067375,-0.822368421052632,-0.01495579942082,7.6,0.0045364704,0.00372153691246267,18
23,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20
23,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
23,1996,3.8,0.0011341176,0,2,NA,NA,NA,NA,NA,NA,0,12
23,2014,9.230987,0.00669248144288203,0,0,NA,NA,NA,NA,3.8,0.0011341176,0.000218634175544192,18
24,1964,1.6,0.0002010624,0,0,NA,NA,NA,NA,NA,NA,NA,NA
24,1984,NA,NA,NA,1,NA,NA,NA,NA,1.6,0.0002010624,8.75281603715444e-05,20
24,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
24,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
24,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
25,1964,81,0.51530094,0,0,NA,NA,NA,NA,NA,NA,NA,NA
25,1984,84.4,0.5594686944,0,0,NA,NA,NA,NA,81,0.51530094,0.619210187928014,20
25,1988,84.7,0.5634530286,0,0,1.7,22.0838772,0.201421800947868,0.00428562719097698,84.4,0.5594686944,0.63749724982083,4
25,1996,84.4,0.5594686944,0,0,0.749999999999993,9.96083549999999,0.0885478158205422,0.00178040980660812,84.7,0.5634530286,0.664717743883674,12
25,2014,86.58029,0.588747355258661,0,0,-0.374999999999996,-4.98041774999999,-0.0444312796208527,-0.000883910015068112,84.4,0.5594686944,0.668891169743815,18
26,1964,3,0.00070686,0,0,NA,NA,NA,NA,NA,NA,NA,NA
26,1984,NA,NA,NA,1,NA,NA,NA,NA,3,0.00070686,0.000195926053281715,20
26,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
26,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
26,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
27,1964,1,7.854e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
27,1984,NA,NA,NA,1,NA,NA,NA,NA,1,7.854e-05,5.41544049226978e-05,20
27,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
27,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
27,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
28,1964,1,7.854e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
28,1984,NA,NA,NA,1,NA,NA,NA,NA,1,7.854e-05,5.41544049226978e-05,20
28,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
28,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
28,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
29,1964,1.5,0.000176715,0,0,NA,NA,NA,NA,NA,NA,NA,NA
29,1984,NA,NA,NA,1,NA,NA,NA,NA,1.5,0.000176715,7.84173923832036e-05,20
29,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
29,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
29,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
30,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1984,5,0.0019635,0,2,NA,NA,NA,NA,NA,NA,0,20
30,1988,6.1,0.0029224734,0,0,NA,NA,NA,NA,5,0.0019635,0.000860287069527236,4
30,1996,7,0.00384846,0,0,2.75,2.3974335,4.50819672131147,0.1221,6.1,0.0029224734,0.00222856270937882,12
30,2014,9.230986699,0.00669248100643101,0,0,1.125,1.15748325,1.60714285714286,0.0396062886320882,7,0.00384846,0.00253084641937755,18
31,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20
31,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
31,1996,2.2,0.0003801336,0,2,NA,NA,NA,NA,NA,NA,0,12
31,2014,11.30000096,0.0100287743040039,0,0,NA,NA,NA,NA,2.2,0.0003801336,2.6226866253242e-05,18
32,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20
32,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
32,1996,2.2,0.0003801336,0,2,NA,NA,NA,NA,NA,NA,0,12
32,2014,14.96056465,0.017578704569562,0,0,NA,NA,NA,NA,2.2,0.0003801336,2.6226866253242e-05,18
33,1964,0.7,3.84846e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
33,1984,NA,NA,NA,1,NA,NA,NA,NA,0.7,3.84846e-05,1.52574994578081e-05,20
33,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
33,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
33,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
34,1964,2.7,0.0005725566,0,0,NA,NA,NA,NA,NA,NA,NA,NA
34,1984,NA,NA,NA,1,NA,NA,NA,NA,2.7,0.0005725566,0.00019002227562527,20
34,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
34,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
34,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
35,1964,0.7,3.84846e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
35,1984,NA,NA,NA,1,NA,NA,NA,NA,0.7,3.84846e-05,1.52574994578081e-05,20
35,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
35,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
35,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
36,1964,2.1,0.0003463614,0,0,NA,NA,NA,NA,NA,NA,NA,NA
36,1984,NA,NA,NA,1,NA,NA,NA,NA,2.1,0.0003463614,0.000141974109869869,20
36,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
36,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
36,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
37,1964,3,0.00070686,0,0,NA,NA,NA,NA,NA,NA,NA,NA
37,1984,NA,NA,NA,1,NA,NA,NA,NA,3,0.00070686,0.000195926053281715,20
