"ID2","Year","DBH","BA","Dead","Dead2","Dead_cum","Dead3","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL","Easting","Northing","Species","Dead_cum2","Dead_No","Dead_dist"
1043,1984,92.9,0.6778324014,0,0,0,0,NA,NA,NA,NA,85,0.5674515,0.662781524755455,20,433008.2,106250.4,"Q",0,0,NA
1179,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,15,0.0176715,0.0462650710324063,20,432987.2,106206.2,"Q",1,0,NA
1183,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,35,0.0962115,0.173097384148689,20,433010.4,106179.2,"Q",1,0,NA
1186,1984,35.7,0.1000984446,0,0,0,0,NA,NA,NA,NA,35,0.0962115,0.173097384148689,20,433007.8,106170.5,"Q",0,0,NA
1189,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,21,0.03463614,0.0849308140426656,20,433004.8,106173.2,"Q",1,0,NA
1193,1984,42.7,0.1432011966,0,0,0,0,NA,NA,NA,NA,40,0.125664,0.20742979485142,20,433003.5,106177.3,"Q",0,0,NA
1196,1984,23.2,0.0422733696,0,0,0,0,NA,NA,NA,NA,25,0.0490875,0.109272000237123,20,433001.8,106184.2,"Q",0,0,NA
1197,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,22,0.03801336,0.0899515031795366,20,433000.2,106181.8,"Q",1,0,NA
1217,1984,48.1,0.1817109294,0,0,0,0,NA,NA,NA,NA,43,0.14522046,0.234471364086859,20,432991.2,106177.7,"Q",0,0,NA
1218,1984,30.6,0.0735417144,0,0,0,0,NA,NA,NA,NA,33,0.08553006,0.156869486669367,20,433010.7,106166.6,"Q",0,0,NA
1220,1984,32.8,0.0844964736,0,0,0,0,NA,NA,NA,NA,33,0.08553006,0.156869486669367,20,433009.7,106172.4,"Q",0,0,NA
1222,1984,35,0.0962115,0,0,0,0,NA,NA,NA,NA,33,0.08553006,0.156869486669367,20,433009.2,106162.4,"Q",0,0,NA
1225,1984,49.7,0.1940008686,0,0,0,0,NA,NA,NA,NA,45,0.1590435,0.249656787246804,20,433004.9,106175.6,"Q",0,0,NA
1229,1984,91,0.65038974,0,0,0,0,NA,NA,NA,NA,93,0.67929246,0.719538774861666,20,433003.4,106173,"Q",0,0,NA
1248,1984,28.6,0.0642425784,0,0,0,0,NA,NA,NA,NA,29,0.06605214,0.132799849951725,20,433002.4,106135.1,"Q",0,0,NA
1249,1984,30.2,0.0716316216,0,0,0,0,NA,NA,NA,NA,32,0.08042496,0.150182992811968,20,433001.2,106149.4,"Q",0,0,NA
1250,1984,41.4,0.1346144184,0,0,0,0,NA,NA,NA,NA,38,0.11341176,0.194130098203551,20,433000.5,106139.3,"Q",0,0,NA
1251,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,20,0.031416,0.0767667560790688,20,433000.1,106145.6,"Q",1,0,NA
1256,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,39,0.11945934,0.200039139859278,20,432994.5,106145.3,"Q",1,0,NA
1257,1984,23.6,0.0437436384,0,0,0,0,NA,NA,NA,NA,23,0.04154766,0.0977908128797267,20,432992.7,106138.6,"Q",0,0,NA
1259,1984,31.8,0.0794227896,0,0,0,0,NA,NA,NA,NA,33,0.08553006,0.156869486669367,20,432992.3,106131.3,"Q",0,0,NA
1261,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,23,0.04154766,0.0977908128797267,20,432988.7,106135.8,"Q",1,0,NA
1265,1984,23.9,0.0448628334,0,0,0,0,NA,NA,NA,NA,25,0.0490875,0.109272000237123,20,432999.8,106112.6,"Q",0,0,NA
1273,1984,35.7,0.1000984446,0,0,0,0,NA,NA,NA,NA,35,0.0962115,0.173097384148689,20,432995,106107.9,"Q",0,0,NA
1278,1984,45.5,0.162597435,0,0,0,0,NA,NA,NA,NA,42,0.13854456,0.224471385142856,20,432990,106124.3,"Q",0,0,NA
1281,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,20,0.031416,0.0767667560790688,20,432989,106113.9,"Q",1,0,NA
1282,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,23,0.04154766,0.0977908128797267,20,432989,106113,"Q",1,0,NA
1284,1984,57,0.25517646,0,0,0,0,NA,NA,NA,NA,50,0.19635,0.296253708892417,20,432985.3,106108,"Q",0,0,NA
1298,1984,19.1,0.0286521774,1,1,1,1,NA,NA,NA,NA,21,0.03463614,0.0849308140426656,20,433002.5,106103.8,"Q",0,0,NA
1300,1984,39.2,0.1206877056,0,0,0,0,NA,NA,NA,NA,38.5,0.116415915,0.197638351263595,20,432999.2,106099.2,"Q",0,0,NA
1301,1984,29.6,0.0688136064,0,0,0,0,NA,NA,NA,NA,29,0.06605214,0.132799849951725,20,432998.3,106105,"Q",0,0,NA
1306,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,21.6,0.0366436224,0.0895736614095241,20,432995.3,106098.4,"Q",1,0,NA
1307,1984,46.2,0.1676389176,0,0,0,0,NA,NA,NA,NA,40,0.125664,0.20742979485142,20,432995,106104.2,"Q",0,0,NA
1311,1984,29.9,0.0702155454,0,0,0,0,NA,NA,NA,NA,29,0.06605214,0.132799849951725,20,432994,106106,"Q",0,0,NA
1316,1984,22,0.03801336,1,1,1,1,NA,NA,NA,NA,12,0.01130976,0.0264185789696264,20,432991.2,106092,"Q",0,0,NA
1318,1984,22,0.03801336,1,1,1,1,NA,NA,NA,NA,25,0.0490875,0.109272000237123,20,432990.6,106102.5,"Q",0,0,NA
1340,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,43,0.14522046,0.234471364086859,20,433004.3,106074.5,"Q",1,0,NA
1351,1984,74.8,0.4394344416,0,0,0,0,NA,NA,NA,NA,77,0.46566366,0.564364984330289,20,433001,106078.8,"Q",0,0,NA
1368,1984,57,0.25517646,1,1,1,1,NA,NA,NA,NA,57,0.25517646,0.349981324950239,20,432992.2,106094.2,"Q",0,0,NA
1368,1984,57,0.25517646,1,1,1,1,NA,NA,NA,NA,57,0.25517646,0.349981324950239,20,432992.2,106074.2,"Q",0,0,NA
1369,1984,65.3,0.3349016286,0,0,0,0,NA,NA,NA,NA,66,0.34212024,0.445387667632057,20,432990,106107.4,"Q",0,0,NA
1369,1984,65.3,0.3349016286,0,0,0,0,NA,NA,NA,NA,66,0.34212024,0.445387667632057,20,432990,106087.4,"Q",0,0,NA
1370,1984,71.9,0.4060211694,0,0,0,0,NA,NA,NA,NA,73,0.41853966,0.519282474785848,20,432990,106106,"Q",0,0,NA
1370,1984,71.9,0.4060211694,0,0,0,0,NA,NA,NA,NA,73,0.41853966,0.519282474785848,20,432990,106086,"Q",0,0,NA
1377,1984,60.5,0.287476035,0,0,0,0,NA,NA,NA,NA,57,0.25517646,0.349981324950239,20,433000.7,106053.5,"Q",0,0,NA
1383,1984,44.9,0.1583374254,0,0,0,0,NA,NA,NA,NA,45,0.1590435,0.249656787246804,20,432999,106052.8,"Q",0,0,NA
1390,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,88,0.60821376,0.68061190509317,20,432997.5,106052.2,"Q",1,0,NA
1415,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,40,0.125664,0.20742979485142,20,432994,106059.5,"Q",1,0,NA
1448,1984,96.1,0.7253333934,0,0,0,0,NA,NA,NA,NA,98,0.75429816,0.763250215054617,20,432986.3,106066.6,"Q",0,0,NA
1490,1984,97.1,0.7405073214,0,0,0,0,NA,NA,NA,NA,98,0.75429816,0.763250215054617,20,432972.5,106011.5,"Q",0,0,NA
1500,1984,80.9,0.5140293774,0,0,0,0,NA,NA,NA,NA,77,0.46566366,0.564364984330289,20,432983,105976,"Q",0,0,NA
1507,1984,90.7,0.6461085246,0,0,0,0,NA,NA,NA,NA,90,0.636174,0.699712933872993,20,432981.5,105992.8,"Q",0,0,NA
1511,1984,68.8,0.3717643776,0,0,0,0,NA,NA,NA,NA,71,0.39592014,0.490242205515278,20,432979.7,105980.7,"Q",0,0,NA
1519,1984,85.6,0.5754908544,0,0,0,0,NA,NA,NA,NA,80,0.502656,0.603661143894579,20,432976.8,105984.3,"Q",0,0,NA
1541,1984,120,1.130976,0,0,0,0,NA,NA,NA,NA,120,1.130976,0.910010717502538,20,432988,105964.3,"Q",0,0,NA
1559,1984,80.9,0.5140293774,0,0,0,0,NA,NA,NA,NA,74,0.43008504,0.532229483481813,20,432979.4,105959.8,"Q",0,0,NA
1563,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,34,0.09079224,0.167452554764624,20,432978.7,105959.6,"Q",1,0,NA
1568,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,58,0.26420856,0.357874894335337,20,432978.2,105959.3,"Q",1,0,NA
